節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	4.6654
1802	135.	-66.5	-8.1439e-015	3.8877
1803	135.	-66.247	-5.7959	2.845
1804	135.	-65.49	-11.548	1.6085
1805	135.	-64.234	-17.211	0.26239
1806	135.	-62.49	-22.744	-1.1016
1807	135.	-60.269	-28.104	-2.3906
1808	135.	-57.591	-33.25	-3.5166
1809	135.	-54.474	-38.143	-4.403
1810	135.	-50.942	-42.745	-4.9893
1811	135.	-47.023	-47.023	-5.2356
1812	135.	-42.745	-50.942	-5.1251
1813	135.	-38.143	-54.474	-4.6654
1814	135.	-33.25	-57.591	-3.8877
1815	135.	-28.104	-60.269	-2.845
1816	135.	-22.744	-62.49	-1.6085
1817	135.	-17.211	-64.234	-0.26239
1818	135.	-11.548	-65.49	1.1016
1819	135.	-5.7959	-66.247	2.3906
1820	135.	1.8838e-014	-66.5	3.5166
1821	135.	5.7959	-66.247	4.403
1822	135.	11.548	-65.49	4.9893
1823	135.	17.211	-64.234	5.2356
1824	135.	22.744	-62.49	5.1251
1825	135.	28.104	-60.269	4.6654
1826	135.	33.25	-57.591	3.8877
1827	135.	38.143	-54.474	2.845
1828	135.	42.745	-50.942	1.6085
1829	135.	47.023	-47.023	0.26239
1830	135.	50.942	-42.745	-1.1016
1831	135.	54.474	-38.143	-2.3906
1832	135.	57.591	-33.25	-3.5166
1833	135.	60.269	-28.104	-4.403
1834	135.	62.49	-22.744	-4.9893
1835	135.	64.234	-17.211	-5.2356
1836	135.	65.49	-11.548	-5.1251
1837	135.	66.247	-5.7959	-4.6654
1838	135.	66.5	5.5511e-014	-3.8877
1839	135.	66.247	5.7959	-2.845
1840	135.	65.49	11.548	-1.6085
1841	135.	64.234	17.211	-0.26239
1842	135.	62.49	22.744	1.1016
1843	135.	60.269	28.104	2.3906
1844	135.	57.591	33.25	3.5166
1845	135.	54.474	38.143	4.403
1846	135.	50.942	42.745	4.9893
1847	135.	47.023	47.023	5.2356
1848	135.	42.745	50.942	5.1251
1849	135.	38.143	54.474	4.6654
1850	135.	33.25	57.591	3.8877
1851	135.	28.104	60.269	2.845
1852	135.	22.744	62.49	1.6085
1853	135.	17.211	64.234	0.26239
