節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	8.1589e-010
1802	135.	-66.5	-8.1439e-015	6.0272e-011
1803	135.	-66.247	-5.7959	-6.9734e-010
1804	135.	-65.49	-11.548	-1.2192e-009
1805	135.	-64.234	-17.211	-1.607e-009
1806	135.	-62.49	-22.744	-1.6033e-009
1807	135.	-60.269	-28.104	-1.4295e-009
1808	135.	-57.591	-33.25	-1.2841e-009
1809	135.	-54.474	-38.143	-1.0703e-009
1810	135.	-50.942	-42.745	-5.721e-010
1811	135.	-47.023	-47.023	2.9261e-011
1812	135.	-42.745	-50.942	6.3475e-010
1813	135.	-38.143	-54.474	1.1451e-009
1814	135.	-33.25	-57.591	1.3771e-009
1815	135.	-28.104	-60.269	1.5431e-009
1816	135.	-22.744	-62.49	1.7356e-009
1817	135.	-17.211	-64.234	1.7526e-009
1818	135.	-11.548	-65.49	1.3699e-009
1819	135.	-5.7959	-66.247	8.439e-010
1820	135.	1.8838e-014	-66.5	7.0694e-011
1821	135.	5.7959	-66.247	-6.9594e-010
1822	135.	11.548	-65.49	-1.222e-009
1823	135.	17.211	-64.234	-1.6071e-009
1824	135.	22.744	-62.49	-1.5953e-009
1825	135.	28.104	-60.269	-1.4108e-009
1826	135.	33.25	-57.591	-1.2551e-009
1827	135.	38.143	-54.474	-1.0346e-009
1828	135.	42.745	-50.942	-5.3653e-010
1829	135.	47.023	-47.023	5.6649e-011
1830	135.	50.942	-42.745	6.459e-010
1831	135.	54.474	-38.143	1.1344e-009
1832	135.	57.591	-33.25	1.3412e-009
1833	135.	60.269	-28.104	1.4827e-009
1834	135.	62.49	-22.744	1.6547e-009
1835	135.	64.234	-17.211	1.6587e-009
1836	135.	65.49	-11.548	1.2727e-009
1837	135.	66.247	-5.7959	7.5261e-010
1838	135.	66.5	5.5511e-014	-3.7176e-012
1839	135.	66.247	5.7959	-7.5792e-010
1840	135.	65.49	11.548	-1.2657e-009
