節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-7.0597
1802	135.	-66.5	-8.1439e-015	-4.3865
1803	135.	-66.247	-5.7959	-0.89135
1804	135.	-65.49	-11.548	2.7708
1805	135.	-64.234	-17.211	5.9138
1806	135.	-62.49	-22.744	7.9486
1807	135.	-60.269	-28.104	8.494
1808	135.	-57.591	-33.25	7.4477
1809	135.	-54.474	-38.143	5.0059
1810	135.	-50.942	-42.745	1.626
1811	135.	-47.023	-47.023	-2.0586
1812	135.	-42.745	-50.942	-5.3574
1813	135.	-38.143	-54.474	-7.6523
1814	135.	-33.25	-57.591	-8.5133
1815	135.	-28.104	-60.269	-7.7791
1816	135.	-22.744	-62.49	-5.5871
1817	135.	-17.211	-64.234	-2.3482
1818	135.	-11.548	-65.49	1.3307
1819	135.	-5.7959	-66.247	4.7602
1820	135.	1.8838e-014	-66.5	7.2978
1821	135.	5.7959	-66.247	8.4679
1822	135.	11.548	-65.49	8.0512
1823	135.	17.211	-64.234	6.1258
1824	135.	22.744	-62.49	3.0526
1825	135.	28.104	-60.269	-0.59262
1826	135.	33.25	-57.591	-4.1268
1827	135.	38.143	-54.474	-6.8877
1828	135.	42.745	-50.942	-8.3579
1829	135.	47.023	-47.023	-8.262
1830	135.	50.942	-42.745	-6.618
1831	135.	54.474	-38.143	-3.7338
1832	135.	57.591	-33.25	-0.14993
1833	135.	60.269	-28.104	3.462
1834	135.	62.49	-22.744	6.4252
1835	135.	64.234	-17.211	8.1844
1836	135.	65.49	-11.548	8.41
1837	135.	66.247	-5.7959	7.0597
1838	135.	66.5	5.5511e-014	4.3865
1839	135.	66.247	5.7959	0.89135
1840	135.	65.49	11.548	-2.7708
1841	135.	64.234	17.211	-5.9138
1842	135.	62.49	22.744	-7.9486
1843	135.	60.269	28.104	-8.494
1844	135.	57.591	33.25	-7.4477
1845	135.	54.474	38.143	-5.0059
1846	135.	50.942	42.745	-1.626
1847	135.	47.023	47.023	2.0586
1848	135.	42.745	50.942	5.3574
1849	135.	38.143	54.474	7.6523
1850	135.	33.25	57.591	8.5133
1851	135.	28.104	60.269	7.7791
1852	135.	22.744	62.49	5.5871
1853	135.	17.211	64.234	2.3482
1854	135.	11.548	65.49	-1.3307
1855	135.	5.7959	66.247	-4.7602
1856	135.	3.1416e-013	66.5	-7.2978
1857	135.	-5.7959	66.247	-8.4679
1858	135.	-11.548	65.49	-8.0512
1859	135.	-17.211	64.234	-6.1258
1860	135.	-22.744	62.49	-3.0526
1861	135.	-28.104	60.269	0.59262
1862	135.	-33.25	57.591	4.1268
