節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-5.9822
1802	135.	-66.5	-8.1439e-015	-8.6791
1803	135.	-66.247	-5.7959	-10.785
1804	135.	-65.49	-11.548	-12.155
1805	135.	-64.234	-17.211	-12.697
1806	135.	-62.49	-22.744	-12.374
1807	135.	-60.269	-28.104	-11.208
1808	135.	-57.591	-33.25	-9.2775
1809	135.	-54.474	-38.143	-6.7151
1810	135.	-50.942	-42.745	-3.695
1811	135.	-47.023	-47.023	-0.42313
1812	135.	-42.745	-50.942	2.8776
1813	135.	-38.143	-54.474	5.9822
1814	135.	-33.25	-57.591	8.6791
1815	135.	-28.104	-60.269	10.785
1816	135.	-22.744	-62.49	12.155
1817	135.	-17.211	-64.234	12.697
1818	135.	-11.548	-65.49	12.374
1819	135.	-5.7959	-66.247	11.208
1820	135.	1.8838e-014	-66.5	9.2775
1821	135.	5.7959	-66.247	6.7151
1822	135.	11.548	-65.49	3.695
1823	135.	17.211	-64.234	0.42313
1824	135.	22.744	-62.49	-2.8776
1825	135.	28.104	-60.269	-5.9822
1826	135.	33.25	-57.591	-8.6791
1827	135.	38.143	-54.474	-10.785
1828	135.	42.745	-50.942	-12.155
1829	135.	47.023	-47.023	-12.697
1830	135.	50.942	-42.745	-12.374
1831	135.	54.474	-38.143	-11.208
1832	135.	57.591	-33.25	-9.2775
1833	135.	60.269	-28.104	-6.7151
1834	135.	62.49	-22.744	-3.695
1835	135.	64.234	-17.211	-0.42313
1836	135.	65.49	-11.548	2.8776
1837	135.	66.247	-5.7959	5.9822
1838	135.	66.5	5.5511e-014	8.6791
1839	135.	66.247	5.7959	10.785
1840	135.	65.49	11.548	12.155
1841	135.	64.234	17.211	12.697
1842	135.	62.49	22.744	12.374
1843	135.	60.269	28.104	11.208
1844	135.	57.591	33.25	9.2775
1845	135.	54.474	38.143	6.7151
1846	135.	50.942	42.745	3.695
1847	135.	47.023	47.023	0.42313
1848	135.	42.745	50.942	-2.8776
1849	135.	38.143	54.474	-5.9822
1850	135.	33.25	57.591	-8.6791
1851	135.	28.104	60.269	-10.785
1852	135.	22.744	62.49	-12.155
1853	135.	17.211	64.234	-12.697
1854	135.	11.548	65.49	-12.374
1855	135.	5.7959	66.247	-11.208
1856	135.	3.1416e-013	66.5	-9.2775
1857	135.	-5.7959	66.247	-6.7151
1858	135.	-11.548	65.49	-3.695
1859	135.	-17.211	64.234	-0.42313
1860	135.	-22.744	62.49	2.8776
1861	135.	-28.104	60.269	5.9822
1862	135.	-33.25	57.591	8.6791
1863	135.	-38.143	54.474	10.785
1864	135.	-42.745	50.942	12.155
1865	135.	-47.023	47.023	12.697
1866	135.	-50.942	42.745	12.374
1867	135.	-54.474	38.143	11.208
1868	135.	-57.591	33.25	9.2775
1869	135.	-60.269	28.104	6.7151
1870	135.	-62.49	22.744	3.695
1871	135.	-64.234	17.211	0.42313
1872	135.	-65.49	11.548	-2.8776
8883	135.	-66.437	2.9007	-7.3942
8884	135.	-65.931	8.68	-4.4683
8932	135.	-66.437	-2.9007	-9.8162
8934	135.	-65.931	-8.68	-11.569
8936	135.	-64.924	-14.393	-12.534
8938	135.	-63.422	-19.997	-12.644
8940	135.	-61.438	-25.448	-11.893
8942	135.	-58.986	-30.706	-10.331
8944	135.	-56.086	-35.73	-8.0656
8946	135.	-52.758	-40.483	-5.2501
8948	135.	-49.029	-44.927	-2.0769
8950	135.	-44.927	-49.029	1.2379
8952	135.	-40.483	-52.758	4.4683
8954	135.	-35.73	-56.086	7.3942
8956	135.	-30.706	-58.986	9.8162
8958	135.	-25.448	-61.438	11.569
8960	135.	-19.997	-63.422	12.534
