節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-3.5049
1802	135.	-66.5	-8.1439e-015	-5.1122e-003
1803	135.	-66.247	-5.7959	3.4953
1804	135.	-65.49	-11.548	6.5742
1805	135.	-64.234	-17.211	8.8601
1806	135.	-62.49	-22.744	10.077
1807	135.	-60.269	-28.104	10.079
1808	135.	-57.591	-33.25	8.8652
1809	135.	-54.474	-38.143	6.582
1810	135.	-50.942	-42.745	3.5049
1811	135.	-47.023	-47.023	5.1122e-003
1812	135.	-42.745	-50.942	-3.4953
1813	135.	-38.143	-54.474	-6.5742
1814	135.	-33.25	-57.591	-8.8601
1815	135.	-28.104	-60.269	-10.077
1816	135.	-22.744	-62.49	-10.079
1817	135.	-17.211	-64.234	-8.8652
1818	135.	-11.548	-65.49	-6.582
1819	135.	-5.7959	-66.247	-3.5049
1820	135.	1.8838e-014	-66.5	-5.1122e-003
1821	135.	5.7959	-66.247	3.4953
1822	135.	11.548	-65.49	6.5742
1823	135.	17.211	-64.234	8.8601
1824	135.	22.744	-62.49	10.077
1825	135.	28.104	-60.269	10.079
1826	135.	33.25	-57.591	8.8652
1827	135.	38.143	-54.474	6.582
1828	135.	42.745	-50.942	3.5049
1829	135.	47.023	-47.023	5.1122e-003
1830	135.	50.942	-42.745	-3.4953
1831	135.	54.474	-38.143	-6.5742
1832	135.	57.591	-33.25	-8.8601
1833	135.	60.269	-28.104	-10.077
1834	135.	62.49	-22.744	-10.079
1835	135.	64.234	-17.211	-8.8652
1836	135.	65.49	-11.548	-6.582
1837	135.	66.247	-5.7959	-3.5049
1838	135.	66.5	5.5511e-014	-5.1122e-003
1839	135.	66.247	5.7959	3.4953
1840	135.	65.49	11.548	6.5742
1841	135.	64.234	17.211	8.8601
1842	135.	62.49	22.744	10.077
1843	135.	60.269	28.104	10.079
1844	135.	57.591	33.25	8.8652
1845	135.	54.474	38.143	6.582
1846	135.	50.942	42.745	3.5049
1847	135.	47.023	47.023	5.1122e-003
1848	135.	42.745	50.942	-3.4953
1849	135.	38.143	54.474	-6.5742
1850	135.	33.25	57.591	-8.8601
1851	135.	28.104	60.269	-10.077
1852	135.	22.744	62.49	-10.079
1853	135.	17.211	64.234	-8.8652
1854	135.	11.548	65.49	-6.582
1855	135.	5.7959	66.247	-3.5049
1856	135.	3.1416e-013	66.5	-5.1122e-003
1857	135.	-5.7959	66.247	3.4953
1858	135.	-11.548	65.49	6.5742
1859	135.	-17.211	64.234	8.8601
1860	135.	-22.744	62.49	10.077
1861	135.	-28.104	60.269	10.079
1862	135.	-33.25	57.591	8.8652
1863	135.	-38.143	54.474	6.582
1864	135.	-42.745	50.942	3.5049
1865	135.	-47.023	47.023	5.1122e-003
1866	135.	-50.942	42.745	-3.4953
1867	135.	-54.474	38.143	-6.5742
1868	135.	-57.591	33.25	-8.8601
1869	135.	-60.269	28.104	-10.077
1870	135.	-62.49	22.744	-10.079
1871	135.	-64.234	17.211	-8.8652
1872	135.	-65.49	11.548	-6.582
8883	135.	-66.437	2.9007	-1.7822
8884	135.	-65.931	8.68	-5.1216
8932	135.	-66.437	-2.9007	1.7722
8934	135.	-65.931	-8.68	5.1128
8936	135.	-64.924	-14.393	7.8367
8938	135.	-63.422	-19.997	9.6154
8940	135.	-61.438	-25.448	10.234
8942	135.	-58.986	-30.706	9.6189
8944	135.	-56.086	-35.73	7.8433
8946	135.	-52.758	-40.483	5.1216
8948	135.	-49.029	-44.927	1.7822
8950	135.	-44.927	-49.029	-1.7722
8952	135.	-40.483	-52.758	-5.1128
8954	135.	-35.73	-56.086	-7.8367
8956	135.	-30.706	-58.986	-9.6154
8958	135.	-25.448	-61.438	-10.234
8960	135.	-19.997	-63.422	-9.6189
8962	135.	-14.393	-64.924	-7.8433
8964	135.	-8.68	-65.931	-5.1216
8966	135.	-2.9007	-66.437	-1.7822
8968	135.	2.9007	-66.437	1.7722
8970	135.	8.68	-65.931	5.1128
8972	135.	14.393	-64.924	7.8367
8974	135.	19.997	-63.422	9.6154
8976	135.	25.448	-61.438	10.234
8978	135.	30.706	-58.986	9.6189
8980	135.	35.73	-56.086	7.8433
8982	135.	40.483	-52.758	5.1216
8984	135.	44.927	-49.029	1.7822
8986	135.	49.029	-44.927	-1.7722
8988	135.	52.758	-40.483	-5.1128
8990	135.	56.086	-35.73	-7.8367
8992	135.	58.986	-30.706	-9.6154
8994	135.	61.438	-25.448	-10.234
8996	135.	63.422	-19.997	-9.6189
8998	135.	64.924	-14.393	-7.8433
9000	135.	65.931	-8.68	-5.1216
9002	135.	66.437	-2.9007	-1.7822
9004	135.	66.437	2.9007	1.7722
9006	135.	65.931	8.68	5.1128
9008	135.	64.924	14.393	7.8367
9010	135.	63.422	19.997	9.6154
9012	135.	61.438	25.448	10.234
9014	135.	58.986	30.706	9.6189
9016	135.	56.086	35.73	7.8433
9018	135.	52.758	40.483	5.1216
9020	135.	49.029	44.927	1.7822
9022	135.	44.927	49.029	-1.7722
9024	135.	40.483	52.758	-5.1128
9026	135.	35.73	56.086	-7.8367
9028	135.	30.706	58.986	-9.6154
9030	135.	25.448	61.438	-10.234
9032	135.	19.997	63.422	-9.6189
9034	135.	14.393	64.924	-7.8433
9036	135.	8.68	65.931	-5.1216
9038	135.	2.9007	66.437	-1.7822
9040	135.	-2.9007	66.437	1.7722
