節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-16.641
1802	135.	-66.5	-8.1439e-015	-16.911
1803	135.	-66.247	-5.7959	-16.668
1804	135.	-65.49	-11.548	-15.917
1805	135.	-64.234	-17.211	-14.684
1806	135.	-62.49	-22.744	-13.004
1807	135.	-60.269	-28.104	-10.928
1808	135.	-57.591	-33.25	-8.5213
1809	135.	-54.474	-38.143	-5.8553
1810	135.	-50.942	-42.745	-3.0113
1811	135.	-47.023	-47.023	-7.5826e-002
1812	135.	-42.745	-50.942	2.862
1813	135.	-38.143	-54.474	5.7128
1814	135.	-33.25	-57.591	8.39
1815	135.	-28.104	-60.269	10.812
1816	135.	-22.744	-62.49	12.906
1817	135.	-17.211	-64.234	14.608
1818	135.	-11.548	-65.49	15.866
1819	135.	-5.7959	-66.247	16.641
1820	135.	1.8838e-014	-66.5	16.911
1821	135.	5.7959	-66.247	16.668
1822	135.	11.548	-65.49	15.917
1823	135.	17.211	-64.234	14.684
1824	135.	22.744	-62.49	13.004
1825	135.	28.104	-60.269	10.928
1826	135.	33.25	-57.591	8.5213
1827	135.	38.143	-54.474	5.8553
1828	135.	42.745	-50.942	3.0113
1829	135.	47.023	-47.023	7.5826e-002
1830	135.	50.942	-42.745	-2.862
1831	135.	54.474	-38.143	-5.7128
1832	135.	57.591	-33.25	-8.39
1833	135.	60.269	-28.104	-10.812
1834	135.	62.49	-22.744	-12.906
1835	135.	64.234	-17.211	-14.608
1836	135.	65.49	-11.548	-15.866
1837	135.	66.247	-5.7959	-16.641
1838	135.	66.5	5.5511e-014	-16.911
1839	135.	66.247	5.7959	-16.668
1840	135.	65.49	11.548	-15.917
1841	135.	64.234	17.211	-14.684
1842	135.	62.49	22.744	-13.004
1843	135.	60.269	28.104	-10.928
1844	135.	57.591	33.25	-8.5213
1845	135.	54.474	38.143	-5.8553
1846	135.	50.942	42.745	-3.0113
1847	135.	47.023	47.023	-7.5826e-002
1848	135.	42.745	50.942	2.862
1849	135.	38.143	54.474	5.7128
1850	135.	33.25	57.591	8.39
1851	135.	28.104	60.269	10.812
1852	135.	22.744	62.49	12.906
1853	135.	17.211	64.234	14.608
1854	135.	11.548	65.49	15.866
1855	135.	5.7959	66.247	16.641
1856	135.	3.1416e-013	66.5	16.911
1857	135.	-5.7959	66.247	16.668
1858	135.	-11.548	65.49	15.917
1859	135.	-17.211	64.234	14.684
1860	135.	-22.744	62.49	13.004
1861	135.	-28.104	60.269	10.928
1862	135.	-33.25	57.591	8.5213
1863	135.	-38.143	54.474	5.8553
1864	135.	-42.745	50.942	3.0113
1865	135.	-47.023	47.023	7.5826e-002
1866	135.	-50.942	42.745	-2.862
1867	135.	-54.474	38.143	-5.7128
1868	135.	-57.591	33.25	-8.39
1869	135.	-60.269	28.104	-10.812
1870	135.	-62.49	22.744	-12.906
1871	135.	-64.234	17.211	-14.608
1872	135.	-65.49	11.548	-15.866
8883	135.	-66.437	2.9007	-16.841
8884	135.	-65.931	8.68	-16.316
8932	135.	-66.437	-2.9007	-16.854
8934	135.	-65.931	-8.68	-16.355
8936	135.	-64.924	-14.393	-15.359
8938	135.	-63.422	-19.997	-13.897
8940	135.	-61.438	-25.448	-12.012
8942	135.	-58.986	-30.706	-9.7622
8944	135.	-56.086	-35.73	-7.2158
8946	135.	-52.758	-40.483	-4.4503
8948	135.	-49.029	-44.927	-1.5495
8950	135.	-44.927	-49.029	1.3984
8952	135.	-40.483	-52.758	4.3038
8954	135.	-35.73	-56.086	7.0784
8956	135.	-30.706	-58.986	9.6379
8958	135.	-25.448	-61.438	11.905
8960	135.	-19.997	-63.422	13.81
8962	135.	-14.393	-64.924	15.295
8964	135.	-8.68	-65.931	16.316
8966	135.	-2.9007	-66.437	16.841
8968	135.	2.9007	-66.437	16.854
8970	135.	8.68	-65.931	16.355
8972	135.	14.393	-64.924	15.359
8974	135.	19.997	-63.422	13.897
8976	135.	25.448	-61.438	12.012
8978	135.	30.706	-58.986	9.7622
8980	135.	35.73	-56.086	7.2158
8982	135.	40.483	-52.758	4.4503
8984	135.	44.927	-49.029	1.5495
8986	135.	49.029	-44.927	-1.3984
8988	135.	52.758	-40.483	-4.3038
8990	135.	56.086	-35.73	-7.0784
8992	135.	58.986	-30.706	-9.6379
8994	135.	61.438	-25.448	-11.905
8996	135.	63.422	-19.997	-13.81
8998	135.	64.924	-14.393	-15.295
9000	135.	65.931	-8.68	-16.316
9002	135.	66.437	-2.9007	-16.841
9004	135.	66.437	2.9007	-16.854
9006	135.	65.931	8.68	-16.355
9008	135.	64.924	14.393	-15.359
9010	135.	63.422	19.997	-13.897
9012	135.	61.438	25.448	-12.012
9014	135.	58.986	30.706	-9.7622
9016	135.	56.086	35.73	-7.2158
9018	135.	52.758	40.483	-4.4503
9020	135.	49.029	44.927	-1.5495
9022	135.	44.927	49.029	1.3984
9024	135.	40.483	52.758	4.3038
9026	135.	35.73	56.086	7.0784
9028	135.	30.706	58.986	9.6379
9030	135.	25.448	61.438	11.905
9032	135.	19.997	63.422	13.81
9034	135.	14.393	64.924	15.295
9036	135.	8.68	65.931	16.316
9038	135.	2.9007	66.437	16.841
9040	135.	-2.9007	66.437	16.854
9042	135.	-8.68	65.931	16.355
9044	135.	-14.393	64.924	15.359
9046	135.	-19.997	63.422	13.897
9048	135.	-25.448	61.438	12.012
9050	135.	-30.706	58.986	9.7622
9052	135.	-35.73	56.086	7.2158
9054	135.	-40.483	52.758	4.4503
9056	135.	-44.927	49.029	1.5495
9058	135.	-49.029	44.927	-1.3984
9060	135.	-52.758	40.483	-4.3038
9062	135.	-56.086	35.73	-7.0784
9064	135.	-58.986	30.706	-9.6379
9066	135.	-61.438	25.448	-11.905
9068	135.	-63.422	19.997	-13.81
9070	135.	-64.924	14.393	-15.295
