節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	3.0113
1802	135.	-66.5	-8.1439e-015	7.5826e-002
1803	135.	-66.247	-5.7959	-2.862
1804	135.	-65.49	-11.548	-5.7128
1805	135.	-64.234	-17.211	-8.39
1806	135.	-62.49	-22.744	-10.812
1807	135.	-60.269	-28.104	-12.906
1808	135.	-57.591	-33.25	-14.608
1809	135.	-54.474	-38.143	-15.866
1810	135.	-50.942	-42.745	-16.641
1811	135.	-47.023	-47.023	-16.911
1812	135.	-42.745	-50.942	-16.668
1813	135.	-38.143	-54.474	-15.917
1814	135.	-33.25	-57.591	-14.684
1815	135.	-28.104	-60.269	-13.004
1816	135.	-22.744	-62.49	-10.928
1817	135.	-17.211	-64.234	-8.5213
1818	135.	-11.548	-65.49	-5.8553
1819	135.	-5.7959	-66.247	-3.0113
1820	135.	1.8838e-014	-66.5	-7.5826e-002
1821	135.	5.7959	-66.247	2.862
1822	135.	11.548	-65.49	5.7128
1823	135.	17.211	-64.234	8.39
1824	135.	22.744	-62.49	10.812
1825	135.	28.104	-60.269	12.906
1826	135.	33.25	-57.591	14.608
1827	135.	38.143	-54.474	15.866
1828	135.	42.745	-50.942	16.641
1829	135.	47.023	-47.023	16.911
1830	135.	50.942	-42.745	16.668
1831	135.	54.474	-38.143	15.917
1832	135.	57.591	-33.25	14.684
1833	135.	60.269	-28.104	13.004
1834	135.	62.49	-22.744	10.928
1835	135.	64.234	-17.211	8.5213
1836	135.	65.49	-11.548	5.8553
1837	135.	66.247	-5.7959	3.0113
1838	135.	66.5	5.5511e-014	7.5826e-002
1839	135.	66.247	5.7959	-2.862
1840	135.	65.49	11.548	-5.7128
1841	135.	64.234	17.211	-8.39
1842	135.	62.49	22.744	-10.812
1843	135.	60.269	28.104	-12.906
1844	135.	57.591	33.25	-14.608
1845	135.	54.474	38.143	-15.866
1846	135.	50.942	42.745	-16.641
1847	135.	47.023	47.023	-16.911
