節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	7.5211
1802	135.	-66.5	-8.1439e-015	6.9871
1803	135.	-66.247	-5.7959	6.3999
1804	135.	-65.49	-11.548	5.7639
1805	135.	-64.234	-17.211	5.0842
1806	135.	-62.49	-22.744	4.3657
1807	135.	-60.269	-28.104	3.6139
1808	135.	-57.591	-33.25	2.8347
1809	135.	-54.474	-38.143	2.0339
1810	135.	-50.942	-42.745	1.2177
1811	135.	-47.023	-47.023	0.39212
1812	135.	-42.745	-50.942	-0.4364
1813	135.	-38.143	-54.474	-1.2616
1814	135.	-33.25	-57.591	-2.0772
1815	135.	-28.104	-60.269	-2.877
1816	135.	-22.744	-62.49	-3.6549
1817	135.	-17.211	-64.234	-4.405
1818	135.	-11.548	-65.49	-5.1215
1819	135.	-5.7959	-66.247	-5.7991
1820	135.	1.8838e-014	-66.5	-6.4326
1821	135.	5.7959	-66.247	-7.017
1822	135.	11.548	-65.49	-7.5481
1823	135.	17.211	-64.234	-8.0218
1824	135.	22.744	-62.49	-8.4344
1825	135.	28.104	-60.269	-8.7828
1826	135.	33.25	-57.591	-9.0643
1827	135.	38.143	-54.474	-9.2769
1828	135.	42.745	-50.942	-9.4188
1829	135.	47.023	-47.023	-9.4891
1830	135.	50.942	-42.745	-9.4872
1831	135.	54.474	-38.143	-9.4131
1832	135.	57.591	-33.25	-9.2673
1833	135.	60.269	-28.104	-9.051
1834	135.	62.49	-22.744	-8.7658
1835	135.	64.234	-17.211	-8.4139
1836	135.	65.49	-11.548	-7.9979
1837	135.	66.247	-5.7959	-7.5211
1838	135.	66.5	5.5511e-014	-6.9871
1839	135.	66.247	5.7959	-6.3999
1840	135.	65.49	11.548	-5.7639
1841	135.	64.234	17.211	-5.0842
1842	135.	62.49	22.744	-4.3657
1843	135.	60.269	28.104	-3.6139
1844	135.	57.591	33.25	-2.8347
1845	135.	54.474	38.143	-2.0339
1846	135.	50.942	42.745	-1.2177
1847	135.	47.023	47.023	-0.39212
1848	135.	42.745	50.942	0.4364
1849	135.	38.143	54.474	1.2616
1850	135.	33.25	57.591	2.0772
1851	135.	28.104	60.269	2.877
1852	135.	22.744	62.49	3.6549
1853	135.	17.211	64.234	4.405
1854	135.	11.548	65.49	5.1215
1855	135.	5.7959	66.247	5.7991
1856	135.	3.1416e-013	66.5	6.4326
1857	135.	-5.7959	66.247	7.017
1858	135.	-11.548	65.49	7.5481
1859	135.	-17.211	64.234	8.0218
1860	135.	-22.744	62.49	8.4344
1861	135.	-28.104	60.269	8.7828
1862	135.	-33.25	57.591	9.0643
1863	135.	-38.143	54.474	9.2769
1864	135.	-42.745	50.942	9.4188
1865	135.	-47.023	47.023	9.4891
1866	135.	-50.942	42.745	9.4872
1867	135.	-54.474	38.143	9.4131
1868	135.	-57.591	33.25	9.2673
1869	135.	-60.269	28.104	9.051
1870	135.	-62.49	22.744	8.7658
1871	135.	-64.234	17.211	8.4139
1872	135.	-65.49	11.548	7.9979
8883	135.	-66.437	2.9007	7.261
8884	135.	-65.931	8.68	7.7669
