節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	9.6148
1802	135.	-66.5	-8.1439e-015	10.234
1803	135.	-66.247	-5.7959	9.6183
1804	135.	-65.49	-11.548	7.8428
1805	135.	-64.234	-17.211	5.1213
1806	135.	-62.49	-22.744	1.7821
1807	135.	-60.269	-28.104	-1.772
1808	135.	-57.591	-33.25	-5.1124
1809	135.	-54.474	-38.143	-7.8362
1810	135.	-50.942	-42.745	-9.6148
1811	135.	-47.023	-47.023	-10.234
1812	135.	-42.745	-50.942	-9.6183
1813	135.	-38.143	-54.474	-7.8428
1814	135.	-33.25	-57.591	-5.1213
1815	135.	-28.104	-60.269	-1.7821
1816	135.	-22.744	-62.49	1.772
1817	135.	-17.211	-64.234	5.1124
1818	135.	-11.548	-65.49	7.8362
1819	135.	-5.7959	-66.247	9.6148
1820	135.	1.8838e-014	-66.5	10.234
1821	135.	5.7959	-66.247	9.6183
1822	135.	11.548	-65.49	7.8428
1823	135.	17.211	-64.234	5.1213
1824	135.	22.744	-62.49	1.7821
1825	135.	28.104	-60.269	-1.772
1826	135.	33.25	-57.591	-5.1124
1827	135.	38.143	-54.474	-7.8362
1828	135.	42.745	-50.942	-9.6148
1829	135.	47.023	-47.023	-10.234
1830	135.	50.942	-42.745	-9.6183
1831	135.	54.474	-38.143	-7.8428
1832	135.	57.591	-33.25	-5.1213
1833	135.	60.269	-28.104	-1.7821
1834	135.	62.49	-22.744	1.772
1835	135.	64.234	-17.211	5.1124
1836	135.	65.49	-11.548	7.8362
1837	135.	66.247	-5.7959	9.6148
1838	135.	66.5	5.5511e-014	10.234
1839	135.	66.247	5.7959	9.6183
1840	135.	65.49	11.548	7.8428
1841	135.	64.234	17.211	5.1213
1842	135.	62.49	22.744	1.7821
1843	135.	60.269	28.104	-1.772
1844	135.	57.591	33.25	-5.1124
1845	135.	54.474	38.143	-7.8362
1846	135.	50.942	42.745	-9.6148
1847	135.	47.023	47.023	-10.234
1848	135.	42.745	50.942	-9.6183
1849	135.	38.143	54.474	-7.8428
1850	135.	33.25	57.591	-5.1213
1851	135.	28.104	60.269	-1.7821
