節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	11.208
1802	135.	-66.5	-8.1439e-015	9.2775
1803	135.	-66.247	-5.7959	6.7151
1804	135.	-65.49	-11.548	3.695
1805	135.	-64.234	-17.211	0.42313
1806	135.	-62.49	-22.744	-2.8776
1807	135.	-60.269	-28.104	-5.9822
1808	135.	-57.591	-33.25	-8.6791
1809	135.	-54.474	-38.143	-10.785
1810	135.	-50.942	-42.745	-12.155
1811	135.	-47.023	-47.023	-12.697
1812	135.	-42.745	-50.942	-12.374
1813	135.	-38.143	-54.474	-11.208
1814	135.	-33.25	-57.591	-9.2775
1815	135.	-28.104	-60.269	-6.7151
1816	135.	-22.744	-62.49	-3.695
1817	135.	-17.211	-64.234	-0.42313
1818	135.	-11.548	-65.49	2.8776
1819	135.	-5.7959	-66.247	5.9822
1820	135.	1.8838e-014	-66.5	8.6791
1821	135.	5.7959	-66.247	10.785
1822	135.	11.548	-65.49	12.155
1823	135.	17.211	-64.234	12.697
1824	135.	22.744	-62.49	12.374
1825	135.	28.104	-60.269	11.208
1826	135.	33.25	-57.591	9.2775
1827	135.	38.143	-54.474	6.7151
1828	135.	42.745	-50.942	3.695
1829	135.	47.023	-47.023	0.42313
1830	135.	50.942	-42.745	-2.8776
1831	135.	54.474	-38.143	-5.9822
1832	135.	57.591	-33.25	-8.6791
1833	135.	60.269	-28.104	-10.785
1834	135.	62.49	-22.744	-12.155
1835	135.	64.234	-17.211	-12.697
1836	135.	65.49	-11.548	-12.374
1837	135.	66.247	-5.7959	-11.208
1838	135.	66.5	5.5511e-014	-9.2775
1839	135.	66.247	5.7959	-6.7151
1840	135.	65.49	11.548	-3.695
1841	135.	64.234	17.211	-0.42313
1842	135.	62.49	22.744	2.8776
1843	135.	60.269	28.104	5.9822
1844	135.	57.591	33.25	8.6791
1845	135.	54.474	38.143	10.785
1846	135.	50.942	42.745	12.155
1847	135.	47.023	47.023	12.697
1848	135.	42.745	50.942	12.374
1849	135.	38.143	54.474	11.208
1850	135.	33.25	57.591	9.2775
1851	135.	28.104	60.269	6.7151
1852	135.	22.744	62.49	3.695
1853	135.	17.211	64.234	0.42313
1854	135.	11.548	65.49	-2.8776
1855	135.	5.7959	66.247	-5.9822
1856	135.	3.1416e-013	66.5	-8.6791
1857	135.	-5.7959	66.247	-10.785
1858	135.	-11.548	65.49	-12.155
1859	135.	-17.211	64.234	-12.697
1860	135.	-22.744	62.49	-12.374
1861	135.	-28.104	60.269	-11.208
1862	135.	-33.25	57.591	-9.2775
1863	135.	-38.143	54.474	-6.7151
1864	135.	-42.745	50.942	-3.695
1865	135.	-47.023	47.023	-0.42313
1866	135.	-50.942	42.745	2.8776
1867	135.	-54.474	38.143	5.9822
1868	135.	-57.591	33.25	8.6791
1869	135.	-60.269	28.104	10.785
1870	135.	-62.49	22.744	12.155
1871	135.	-64.234	17.211	12.697
1872	135.	-65.49	11.548	12.374
8883	135.	-66.437	2.9007	10.331
8884	135.	-65.931	8.68	11.893
8932	135.	-66.437	-2.9007	8.0656
8934	135.	-65.931	-8.68	5.2501
8936	135.	-64.924	-14.393	2.0769
8938	135.	-63.422	-19.997	-1.2379
8940	135.	-61.438	-25.448	-4.4683
8942	135.	-58.986	-30.706	-7.3942
8944	135.	-56.086	-35.73	-9.8162
8946	135.	-52.758	-40.483	-11.569
8948	135.	-49.029	-44.927	-12.534
8950	135.	-44.927	-49.029	-12.644
8952	135.	-40.483	-52.758	-11.893
8954	135.	-35.73	-56.086	-10.331
8956	135.	-30.706	-58.986	-8.0656
8958	135.	-25.448	-61.438	-5.2501
8960	135.	-19.997	-63.422	-2.0769
8962	135.	-14.393	-64.924	1.2379
8964	135.	-8.68	-65.931	4.4683
8966	135.	-2.9007	-66.437	7.3942
8968	135.	2.9007	-66.437	9.8162
8970	135.	8.68	-65.931	11.569
8972	135.	14.393	-64.924	12.534
8974	135.	19.997	-63.422	12.644
8976	135.	25.448	-61.438	11.893
8978	135.	30.706	-58.986	10.331
8980	135.	35.73	-56.086	8.0656
8982	135.	40.483	-52.758	5.2501
8984	135.	44.927	-49.029	2.0769
8986	135.	49.029	-44.927	-1.2379
8988	135.	52.758	-40.483	-4.4683
8990	135.	56.086	-35.73	-7.3942
8992	135.	58.986	-30.706	-9.8162
8994	135.	61.438	-25.448	-11.569
8996	135.	63.422	-19.997	-12.534
8998	135.	64.924	-14.393	-12.644
