節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
137	5.5556	5.5556	3.	-12.206
138	5.5556	11.111	3.	-8.4568
139	5.5556	16.667	3.	-4.9467
140	5.5556	22.222	3.	-1.6345
141	5.5556	27.778	3.	1.6345
142	5.5556	33.333	3.	4.9467
143	5.5556	38.889	3.	8.4568
144	5.5556	44.444	3.	12.206
145	11.111	5.5556	3.	-40.47
146	11.111	11.111	3.	-28.691
147	11.111	16.667	3.	-17.101
148	11.111	22.222	3.	-5.6828
149	11.111	27.778	3.	5.6828
150	11.111	33.333	3.	17.101
151	11.111	38.889	3.	28.691
152	11.111	44.444	3.	40.47
153	16.667	5.5556	3.	-75.965
154	16.667	11.111	3.	-54.351
155	16.667	16.667	3.	-32.664
156	16.667	22.222	3.	-10.9
157	16.667	27.778	3.	10.9
158	16.667	33.333	3.	32.664
159	16.667	38.889	3.	54.351
160	16.667	44.444	3.	75.965
161	22.222	5.5556	3.	-111.66
162	22.222	11.111	3.	-80.184
163	22.222	16.667	3.	-48.391
164	22.222	22.222	3.	-16.188
165	22.222	27.778	3.	16.188
166	22.222	33.333	3.	48.391
167	22.222	38.889	3.	80.184
168	22.222	44.444	3.	111.66
169	27.778	5.5556	3.	-142.29
170	27.778	11.111	3.	-102.37
171	27.778	16.667	3.	-61.914
172	27.778	22.222	3.	-20.738
173	27.778	27.778	3.	20.738
174	27.778	33.333	3.	61.914
175	27.778	38.889	3.	102.37
176	27.778	44.444	3.	142.29
177	33.333	5.5556	3.	-164.
178	33.333	11.111	3.	-118.1
179	33.333	16.667	3.	-71.509
180	33.333	22.222	3.	-23.969
181	33.333	27.778	3.	23.969
182	33.333	33.333	3.	71.509
183	33.333	38.889	3.	118.1
184	33.333	44.444	3.	164.
185	38.889	5.5556	3.	-174.2
186	38.889	11.111	3.	-125.52
187	38.889	16.667	3.	-76.046
188	38.889	22.222	3.	-25.499
189	38.889	27.778	3.	25.499
190	38.889	33.333	3.	76.046
191	38.889	38.889	3.	125.52
192	38.889	44.444	3.	174.2
193	44.444	5.5556	3.	-171.56
194	44.444	11.111	3.	-123.65
195	44.444	16.667	3.	-74.942
196	44.444	22.222	3.	-25.135
197	44.444	27.778	3.	25.135
198	44.444	33.333	3.	74.942
199	44.444	38.889	3.	123.65
200	44.444	44.444	3.	171.56
201	50.	5.5556	3.	-155.94
202	50.	11.111	3.	-112.41
203	50.	16.667	3.	-68.14
204	50.	22.222	3.	-22.856
205	50.	27.778	3.	22.856
206	50.	33.333	3.	68.14
207	50.	38.889	3.	112.41
208	50.	44.444	3.	155.94
209	55.556	5.5556	3.	-128.31
210	55.556	11.111	3.	-92.481
211	55.556	16.667	3.	-56.06
212	55.556	22.222	3.	-18.804
213	55.556	27.778	3.	18.804
214	55.556	33.333	3.	56.06
215	55.556	38.889	3.	92.481
216	55.556	44.444	3.	128.31
217	61.111	5.5556	3.	-90.565
218	61.111	11.111	3.	-65.241
219	61.111	16.667	3.	-39.534
220	61.111	22.222	3.	-13.259
221	61.111	27.778	3.	13.259
222	61.111	33.333	3.	39.534
223	61.111	38.889	3.	65.241
224	61.111	44.444	3.	90.565
