é¸îgêî (Hz)	êUïù (mm)	à ëääp (ìx)	é¿ïî (mm)	ãïïî (mm)
4.	1.7743e-011	0.	1.7743e-011	0.
8.	1.7744e-011	0.	1.7744e-011	0.
12.	1.7746e-011	0.	1.7746e-011	0.
16.	1.7749e-011	0.	1.7749e-011	0.
20.	1.7753e-011	0.	1.7753e-011	0.
24.	1.7758e-011	0.	1.7758e-011	0.
28.	1.7763e-011	0.	1.7763e-011	0.
32.	1.777e-011	0.	1.777e-011	0.
36.	1.7777e-011	0.	1.7777e-011	0.
40.	1.7785e-011	0.	1.7785e-011	0.
44.	1.7794e-011	0.	1.7794e-011	0.
48.	1.7804e-011	0.	1.7804e-011	0.
52.	1.7814e-011	0.	1.7814e-011	0.
56.	1.7826e-011	0.	1.7826e-011	0.
60.	1.7838e-011	0.	1.7838e-011	0.
64.	1.7851e-011	0.	1.7851e-011	0.
68.	1.7865e-011	0.	1.7865e-011	0.
72.	1.788e-011	0.	1.788e-011	0.
76.	1.7896e-011	0.	1.7896e-011	0.
80.	1.7912e-011	0.	1.7912e-011	0.
84.	1.793e-011	0.	1.793e-011	0.
88.	1.7948e-011	0.	1.7948e-011	0.
92.	1.7967e-011	0.	1.7967e-011	0.
96.	1.7987e-011	0.	1.7987e-011	0.
100.	1.8008e-011	0.	1.8008e-011	0.
104.	1.803e-011	0.	1.803e-011	0.
108.	1.8053e-011	0.	1.8053e-011	0.
112.	1.8076e-011	0.	1.8076e-011	0.
116.	1.81e-011	0.	1.81e-011	0.
120.	1.8126e-011	0.	1.8126e-011	0.
124.	1.8152e-011	0.	1.8152e-011	0.
128.	1.8179e-011	0.	1.8179e-011	0.
132.	1.8207e-011	0.	1.8207e-011	0.
136.	1.8235e-011	0.	1.8235e-011	0.
140.	1.8265e-011	0.	1.8265e-011	0.
144.	1.8295e-011	0.	1.8295e-011	0.
148.	1.8327e-011	0.	1.8327e-011	0.
152.	1.8359e-011	0.	1.8359e-011	0.
156.	1.8392e-011	0.	1.8392e-011	0.
160.	1.8426e-011	0.	1.8426e-011	0.
164.	1.8461e-011	0.	1.8461e-011	0.
168.	1.8497e-011	0.	1.8497e-011	0.
172.	1.8533e-011	0.	1.8533e-011	0.
176.	1.8571e-011	0.	1.8571e-011	0.
180.	1.8609e-011	0.	1.8609e-011	0.
184.	1.8649e-011	0.	1.8649e-011	0.
188.	1.8689e-011	0.	1.8689e-011	0.
192.	1.873e-011	0.	1.873e-011	0.
196.	1.8772e-011	0.	1.8772e-011	0.
200.	1.8815e-011	0.	1.8815e-011	0.
204.	1.8859e-011	0.	1.8859e-011	0.
208.	1.8904e-011	0.	1.8904e-011	0.
212.	1.8949e-011	0.	1.8949e-011	0.
216.	1.8996e-011	0.	1.8996e-011	0.
220.	1.9043e-011	0.	1.9043e-011	0.
224.	1.9092e-011	0.	1.9092e-011	0.
228.	1.9141e-011	0.	1.9141e-011	0.
232.	1.9192e-011	0.	1.9192e-011	0.
236.	1.9243e-011	0.	1.9243e-011	0.
240.	1.9295e-011	0.	1.9295e-011	0.
244.	1.9348e-011	0.	1.9348e-011	0.
248.	1.9402e-011	0.	1.9402e-011	0.
252.	1.9457e-011	0.	1.9457e-011	0.
256.	1.9513e-011	0.	1.9513e-011	0.
260.	1.957e-011	0.	1.957e-011	0.
264.	1.9628e-011	0.	1.9628e-011	0.
268.	1.9687e-011	0.	1.9687e-011	0.
272.	1.9746e-011	0.	1.9746e-011	0.
276.	1.9807e-011	0.	1.9807e-011	0.
280.	1.9869e-011	0.	1.9869e-011	0.
284.	1.9932e-011	0.	1.9932e-011	0.
288.	1.9995e-011	0.	1.9995e-011	0.
292.	2.006e-011	0.	2.006e-011	0.
296.	2.0125e-011	0.	2.0125e-011	0.
300.	2.0192e-011	0.	2.0192e-011	0.
304.	2.026e-011	0.	2.026e-011	0.
308.	2.0328e-011	0.	2.0328e-011	0.
312.	2.0398e-011	0.	2.0398e-011	0.
316.	2.0468e-011	0.	2.0468e-011	0.
320.	2.054e-011	0.	2.054e-011	0.
324.	2.0613e-011	0.	2.0613e-011	0.
328.	2.0686e-011	0.	2.0686e-011	0.
332.	2.0761e-011	0.	2.0761e-011	0.
336.	2.0837e-011	0.	2.0837e-011	0.
340.	2.0913e-011	0.	2.0913e-011	0.
344.	2.0991e-011	0.	2.0991e-011	0.
348.	2.107e-011	0.	2.107e-011	0.
352.	2.115e-011	0.	2.115e-011	0.
356.	2.1231e-011	0.	2.1231e-011	0.
360.	2.1313e-011	0.	2.1313e-011	0.
364.	2.1396e-011	0.	2.1396e-011	0.
368.	2.148e-011	0.	2.148e-011	0.
372.	2.1565e-011	0.	2.1565e-011	0.
376.	2.1651e-011	0.	2.1651e-011	0.
380.	2.1739e-011	0.	2.1739e-011	0.
384.	2.1827e-011	0.	2.1827e-011	0.
388.	2.1917e-011	0.	2.1917e-011	0.
392.	2.2007e-011	0.	2.2007e-011	0.
396.	2.2099e-011	0.	2.2099e-011	0.
400.	2.2192e-011	0.	2.2192e-011	0.
404.	2.2286e-011	0.	2.2286e-011	0.
408.	2.2381e-011	0.	2.2381e-011	0.
412.	2.2477e-011	0.	2.2477e-011	0.
416.	2.2574e-011	0.	2.2574e-011	0.
420.	2.2673e-011	0.	2.2673e-011	0.
424.	2.2772e-011	0.	2.2772e-011	0.
428.	2.2873e-011	0.	2.2873e-011	0.
432.	2.2975e-011	0.	2.2975e-011	0.
436.	2.3078e-011	0.	2.3078e-011	0.
440.	2.3182e-011	0.	2.3182e-011	0.
444.	2.3288e-011	0.	2.3288e-011	0.
448.	2.3395e-011	0.	2.3395e-011	0.
452.	2.3502e-011	0.	2.3502e-011	0.
456.	2.3611e-011	0.	2.3611e-011	0.
460.	2.3722e-011	0.	2.3722e-011	0.
464.	2.3833e-011	0.	2.3833e-011	0.
468.	2.3946e-011	0.	2.3946e-011	0.
472.	2.406e-011	0.	2.406e-011	0.
476.	2.4175e-011	0.	2.4175e-011	0.
480.	2.4291e-011	0.	2.4291e-011	0.
484.	2.4409e-011	0.	2.4409e-011	0.
488.	2.4528e-011	0.	2.4528e-011	0.
492.	2.4648e-011	0.	2.4648e-011	0.
496.	2.477e-011	0.	2.477e-011	0.
500.	2.4892e-011	0.	2.4892e-011	0.
504.	2.5017e-011	0.	2.5017e-011	0.
508.	2.5142e-011	0.	2.5142e-011	0.
512.	2.5269e-011	0.	2.5269e-011	0.
516.	2.5397e-011	0.	2.5397e-011	0.
520.	2.5526e-011	0.	2.5526e-011	0.
524.	2.5657e-011	0.	2.5657e-011	0.
528.	2.5789e-011	0.	2.5789e-011	0.
532.	2.5922e-011	0.	2.5922e-011	0.
536.	2.6057e-011	0.	2.6057e-011	0.
540.	2.6193e-011	0.	2.6193e-011	0.
544.	2.633e-011	0.	2.633e-011	0.
548.	2.6469e-011	0.	2.6469e-011	0.
552.	2.661e-011	0.	2.661e-011	0.
556.	2.6751e-011	0.	2.6751e-011	0.
560.	2.6895e-011	0.	2.6895e-011	0.
564.	2.7039e-011	0.	2.7039e-011	0.
568.	2.7185e-011	0.	2.7185e-011	0.
572.	2.7333e-011	0.	2.7333e-011	0.
576.	2.7482e-011	0.	2.7482e-011	0.
580.	2.7632e-011	0.	2.7632e-011	0.
584.	2.7784e-011	0.	2.7784e-011	0.
588.	2.7938e-011	0.	2.7938e-011	0.
592.	2.8092e-011	0.	2.8092e-011	0.
596.	2.8249e-011	0.	2.8249e-011	0.
600.	2.8407e-011	0.	2.8407e-011	0.
604.	2.8566e-011	0.	2.8566e-011	0.
608.	2.8728e-011	0.	2.8728e-011	0.
612.	2.889e-011	0.	2.889e-011	0.
616.	2.9055e-011	0.	2.9055e-011	0.
620.	2.922e-011	0.	2.922e-011	0.
624.	2.9388e-011	0.	2.9388e-011	0.
628.	2.9557e-011	0.	2.9557e-011	0.
632.	2.9728e-011	0.	2.9728e-011	0.
636.	2.99e-011	0.	2.99e-011	0.
640.	3.0074e-011	0.	3.0074e-011	0.
644.	3.025e-011	0.	3.025e-011	0.
648.	3.0427e-011	0.	3.0427e-011	0.
652.	3.0606e-011	0.	3.0606e-011	0.
656.	3.0787e-011	0.	3.0787e-011	0.
660.	3.0969e-011	0.	3.0969e-011	0.
664.	3.1154e-011	0.	3.1154e-011	0.
668.	3.134e-011	0.	3.134e-011	0.
672.	3.1527e-011	0.	3.1527e-011	0.
676.	3.1717e-011	0.	3.1717e-011	0.
680.	3.1908e-011	0.	3.1908e-011	0.
684.	3.2102e-011	0.	3.2102e-011	0.
688.	3.2297e-011	0.	3.2297e-011	0.
692.	3.2493e-011	0.	3.2493e-011	0.
696.	3.2692e-011	0.	3.2692e-011	0.
700.	3.2893e-011	0.	3.2893e-011	0.
704.	3.3095e-011	0.	3.3095e-011	0.
708.	3.33e-011	0.	3.33e-011	0.
712.	3.3506e-011	0.	3.3506e-011	0.
716.	3.3714e-011	0.	3.3714e-011	0.
720.	3.3924e-011	0.	3.3924e-011	0.
724.	3.4137e-011	0.	3.4137e-011	0.
728.	3.4351e-011	0.	3.4351e-011	0.
732.	3.4567e-011	0.	3.4567e-011	0.
736.	3.4785e-011	0.	3.4785e-011	0.
740.	3.5006e-011	0.	3.5006e-011	0.
744.	3.5228e-011	0.	3.5228e-011	0.
748.	3.5452e-011	0.	3.5452e-011	0.
752.	3.5679e-011	0.	3.5679e-011	0.
756.	3.5908e-011	0.	3.5908e-011	0.
760.	3.6139e-011	0.	3.6139e-011	0.
764.	3.6372e-011	0.	3.6372e-011	0.
768.	3.6607e-011	0.	3.6607e-011	0.
772.	3.6844e-011	0.	3.6844e-011	0.
776.	3.7084e-011	0.	3.7084e-011	0.
780.	3.7326e-011	0.	3.7326e-011	0.
784.	3.757e-011	0.	3.757e-011	0.
788.	3.7816e-011	0.	3.7816e-011	0.
792.	3.8065e-011	0.	3.8065e-011	0.
796.	3.8316e-011	0.	3.8316e-011	0.
800.	3.857e-011	0.	3.857e-011	0.
804.	3.8825e-011	0.	3.8825e-011	0.
808.	3.9084e-011	0.	3.9084e-011	0.
812.	3.9344e-011	0.	3.9344e-011	0.
816.	3.9607e-011	0.	3.9607e-011	0.
820.	3.9873e-011	0.	3.9873e-011	0.
824.	4.0141e-011	0.	4.0141e-011	0.
828.	4.0412e-011	0.	4.0412e-011	0.
832.	4.0685e-011	0.	4.0685e-011	0.
836.	4.0961e-011	0.	4.0961e-011	0.
840.	4.1239e-011	0.	4.1239e-011	0.
844.	4.152e-011	0.	4.152e-011	0.
848.	4.1804e-011	0.	4.1804e-011	0.
852.	4.209e-011	0.	4.209e-011	0.
856.	4.2379e-011	0.	4.2379e-011	0.
860.	4.2671e-011	0.	4.2671e-011	0.
864.	4.2966e-011	0.	4.2966e-011	0.
868.	4.3263e-011	0.	4.3263e-011	0.
872.	4.3563e-011	0.	4.3563e-011	0.
876.	4.3866e-011	0.	4.3866e-011	0.
880.	4.4172e-011	0.	4.4172e-011	0.
884.	4.4481e-011	0.	4.4481e-011	0.
888.	4.4793e-011	0.	4.4793e-011	0.
892.	4.5108e-011	0.	4.5108e-011	0.
896.	4.5425e-011	0.	4.5425e-011	0.
900.	4.5746e-011	0.	4.5746e-011	0.
904.	4.607e-011	0.	4.607e-011	0.
908.	4.6397e-011	0.	4.6397e-011	0.
912.	4.6728e-011	0.	4.6728e-011	0.
916.	4.7061e-011	0.	4.7061e-011	0.
920.	4.7398e-011	0.	4.7398e-011	0.
924.	4.7737e-011	0.	4.7737e-011	0.
928.	4.8081e-011	0.	4.8081e-011	0.
932.	4.8427e-011	0.	4.8427e-011	0.
936.	4.8777e-011	0.	4.8777e-011	0.
940.	4.913e-011	0.	4.913e-011	0.
944.	4.9487e-011	0.	4.9487e-011	0.
948.	4.9847e-011	0.	4.9847e-011	0.
952.	5.0211e-011	0.	5.0211e-011	0.
956.	5.0578e-011	0.	5.0578e-011	0.
960.	5.0949e-011	0.	5.0949e-011	0.
964.	5.1323e-011	0.	5.1323e-011	0.
968.	5.1702e-011	0.	5.1702e-011	0.
972.	5.2084e-011	0.	5.2084e-011	0.
976.	5.2469e-011	0.	5.2469e-011	0.
980.	5.2859e-011	0.	5.2859e-011	0.
984.	5.3252e-011	0.	5.3252e-011	0.
988.	5.3649e-011	0.	5.3649e-011	0.
992.	5.4051e-011	0.	5.4051e-011	0.
996.	5.4456e-011	0.	5.4456e-011	0.
1000.	5.4865e-011	0.	5.4865e-011	0.
1004.	5.5279e-011	0.	5.5279e-011	0.
1008.	5.5696e-011	0.	5.5696e-011	0.
1012.	5.6118e-011	0.	5.6118e-011	0.
1016.	5.6544e-011	0.	5.6544e-011	0.
1020.	5.6974e-011	0.	5.6974e-011	0.
1024.	5.7409e-011	0.	5.7409e-011	0.
1028.	5.7848e-011	0.	5.7848e-011	0.
1032.	5.8292e-011	0.	5.8292e-011	0.
1036.	5.874e-011	0.	5.874e-011	0.
1040.	5.9193e-011	0.	5.9193e-011	0.
1044.	5.965e-011	0.	5.965e-011	0.
1048.	6.0112e-011	0.	6.0112e-011	0.
1052.	6.0579e-011	0.	6.0579e-011	0.
1056.	6.1051e-011	0.	6.1051e-011	0.
1060.	6.1527e-011	0.	6.1527e-011	0.
1064.	6.2009e-011	0.	6.2009e-011	0.
1068.	6.2495e-011	0.	6.2495e-011	0.
1072.	6.2987e-011	0.	6.2987e-011	0.
1076.	6.3484e-011	0.	6.3484e-011	0.
1080.	6.3985e-011	0.	6.3985e-011	0.
1084.	6.4493e-011	0.	6.4493e-011	0.
1088.	6.5005e-011	0.	6.5005e-011	0.
1092.	6.5523e-011	0.	6.5523e-011	0.
1096.	6.6047e-011	0.	6.6047e-011	0.
1100.	6.6576e-011	0.	6.6576e-011	0.
1104.	6.7111e-011	0.	6.7111e-011	0.
1108.	6.7651e-011	0.	6.7651e-011	0.
1112.	6.8198e-011	0.	6.8198e-011	0.
1116.	6.875e-011	0.	6.875e-011	0.
1120.	6.9308e-011	0.	6.9308e-011	0.
1124.	6.9872e-011	0.	6.9872e-011	0.
1128.	7.0443e-011	0.	7.0443e-011	0.
1132.	7.1019e-011	0.	7.1019e-011	0.
1136.	7.1602e-011	0.	7.1602e-011	0.
1140.	7.2192e-011	0.	7.2192e-011	0.
1144.	7.2787e-011	0.	7.2787e-011	0.
1148.	7.339e-011	0.	7.339e-011	0.
1152.	7.3999e-011	0.	7.3999e-011	0.
1156.	7.4615e-011	0.	7.4615e-011	0.
1160.	7.5238e-011	0.	7.5238e-011	0.
1164.	7.5867e-011	0.	7.5867e-011	0.
1168.	7.6504e-011	0.	7.6504e-011	0.
1172.	7.7148e-011	0.	7.7148e-011	0.
1176.	7.78e-011	0.	7.78e-011	0.
1180.	7.8459e-011	0.	7.8459e-011	0.
1184.	7.9125e-011	0.	7.9125e-011	0.
1188.	7.9799e-011	0.	7.9799e-011	0.
1192.	8.048e-011	0.	8.048e-011	0.
1196.	8.117e-011	0.	8.117e-011	0.
1200.	8.1868e-011	0.	8.1868e-011	0.
1204.	8.2573e-011	0.	8.2573e-011	0.
1208.	8.3287e-011	0.	8.3287e-011	0.
1212.	8.4009e-011	0.	8.4009e-011	0.
1216.	8.474e-011	0.	8.474e-011	0.
1220.	8.548e-011	0.	8.548e-011	0.
1224.	8.6228e-011	0.	8.6228e-011	0.
1228.	8.6985e-011	0.	8.6985e-011	0.
1232.	8.7751e-011	0.	8.7751e-011	0.
1236.	8.8527e-011	0.	8.8527e-011	0.
1240.	8.9311e-011	0.	8.9311e-011	0.
1244.	9.0106e-011	0.	9.0106e-011	0.
1248.	9.091e-011	0.	9.091e-011	0.
1252.	9.1724e-011	0.	9.1724e-011	0.
1256.	9.2547e-011	0.	9.2547e-011	0.
1260.	9.3381e-011	0.	9.3381e-011	0.
1264.	9.4226e-011	0.	9.4226e-011	0.
1268.	9.508e-011	0.	9.508e-011	0.
1272.	9.5946e-011	0.	9.5946e-011	0.
1276.	9.6822e-011	0.	9.6822e-011	0.
1280.	9.771e-011	0.	9.771e-011	0.
1284.	9.8608e-011	0.	9.8608e-011	0.
1288.	9.9518e-011	0.	9.9518e-011	0.
1292.	1.0044e-010	0.	1.0044e-010	0.
1296.	1.0137e-010	0.	1.0137e-010	0.
1300.	1.0232e-010	0.	1.0232e-010	0.
1304.	1.0328e-010	0.	1.0328e-010	0.
1308.	1.0425e-010	0.	1.0425e-010	0.
1312.	1.0523e-010	0.	1.0523e-010	0.
1316.	1.0623e-010	0.	1.0623e-010	0.
1320.	1.0724e-010	0.	1.0724e-010	0.
1324.	1.0826e-010	0.	1.0826e-010	0.
1328.	1.093e-010	0.	1.093e-010	0.
1332.	1.1035e-010	0.	1.1035e-010	0.
1336.	1.1141e-010	0.	1.1141e-010	0.
1340.	1.1249e-010	0.	1.1249e-010	0.
1344.	1.1358e-010	0.	1.1358e-010	0.
1348.	1.1469e-010	0.	1.1469e-010	0.
1352.	1.1582e-010	0.	1.1582e-010	0.
1356.	1.1696e-010	0.	1.1696e-010	0.
1360.	1.1811e-010	0.	1.1811e-010	0.
1364.	1.1929e-010	0.	1.1929e-010	0.
1368.	1.2047e-010	0.	1.2047e-010	0.
