節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
2711	92.813	51.739	-41.777	
2714	92.813	48.01	-46.014	
2906	101.25	66.44	-2.8223	
2907	109.69	66.5	-1.9429e-013	
2908	101.25	65.961	-8.4467	
2909	109.69	66.26	-5.6396	
2911	101.25	65.007	-14.01	
2912	109.69	65.543	-11.239	
2914	101.25	63.585	-19.473	
2915	109.69	64.354	-16.757	
2917	101.25	61.705	-24.795	
2918	109.69	62.701	-22.154	
2920	101.25	59.38	-29.939	
2921	109.69	60.597	-27.391	
2923	101.25	56.627	-34.866	
2924	109.69	58.055	-32.432	
2926	101.25	53.466	-39.543	
2927	109.69	55.096	-37.238	
2929	101.25	49.92	-43.935	
2930	109.69	51.739	-41.777	
2933	109.69	48.01	-46.014	
3125	118.13	66.44	-2.8223	
3126	126.56	66.5	-1.9429e-013	
3127	118.13	65.961	-8.4467	
3128	126.56	66.26	-5.6396	
3130	118.13	65.007	-14.01	
3131	126.56	65.543	-11.239	
3133	118.13	63.585	-19.473	
3134	126.56	64.354	-16.757	
3136	118.13	61.705	-24.795	
3137	126.56	62.701	-22.154	
3139	118.13	59.38	-29.939	
3140	126.56	60.597	-27.391	
3142	118.13	56.627	-34.866	
3143	126.56	58.055	-32.432	
3145	118.13	53.466	-39.543	
3146	126.56	55.096	-37.238	
3148	118.13	49.92	-43.935	
3149	126.56	51.739	-41.777	
3152	126.56	48.01	-46.014	
3308	135.	49.92	-43.935	
3310	135.	53.466	-39.543	
3312	135.	56.627	-34.866	
3314	135.	59.38	-29.939	
3316	135.	61.705	-24.795	
3318	135.	63.585	-19.473	
3320	135.	65.007	-14.01	
3322	135.	65.961	-8.4467	
3324	135.	66.44	-2.8223	
