節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
127	0.	43.935	49.92	
128	0.	39.543	53.466	
129	0.	34.866	56.627	
130	0.	29.939	59.38	
131	0.	24.795	61.705	
132	0.	19.473	63.585	
133	0.	14.01	65.007	
134	0.	8.4467	65.961	
135	0.	2.8223	66.44	
172	16.875	2.8223	66.44	
173	16.875	8.4467	65.961	
174	16.875	14.01	65.007	
175	16.875	19.473	63.585	
176	16.875	24.795	61.705	
177	16.875	29.939	59.38	
178	16.875	34.866	56.627	
179	16.875	39.543	53.466	
180	16.875	43.935	49.92	
245	33.75	2.8223	66.44	
246	33.75	8.4467	65.961	
247	33.75	14.01	65.007	
248	33.75	19.473	63.585	
249	33.75	24.795	61.705	
250	33.75	29.939	59.38	
251	33.75	34.866	56.627	
252	33.75	39.543	53.466	
253	33.75	43.935	49.92	
318	50.625	2.8223	66.44	
319	50.625	8.4467	65.961	
320	50.625	14.01	65.007	
321	50.625	19.473	63.585	
322	50.625	24.795	61.705	
323	50.625	29.939	59.38	
324	50.625	34.866	56.627	
325	50.625	39.543	53.466	
326	50.625	43.935	49.92	
391	67.5	2.8223	66.44	
392	67.5	8.4467	65.961	
393	67.5	14.01	65.007	
394	67.5	19.473	63.585	
395	67.5	24.795	61.705	
396	67.5	29.939	59.38	
397	67.5	34.866	56.627	
398	67.5	39.543	53.466	
399	67.5	43.935	49.92	
464	84.375	2.8223	66.44	
465	84.375	8.4467	65.961	
466	84.375	14.01	65.007	
467	84.375	19.473	63.585	
468	84.375	24.795	61.705	
469	84.375	29.939	59.38	
470	84.375	34.866	56.627	
471	84.375	39.543	53.466	
472	84.375	43.935	49.92	
537	101.25	2.8223	66.44	
538	101.25	8.4467	65.961	
539	101.25	14.01	65.007	
540	101.25	19.473	63.585	
541	101.25	24.795	61.705	
542	101.25	29.939	59.38	
543	101.25	34.866	56.627	
544	101.25	39.543	53.466	
545	101.25	43.935	49.92	
610	118.13	2.8223	66.44	
611	118.13	8.4467	65.961	
612	118.13	14.01	65.007	
613	118.13	19.473	63.585	
614	118.13	24.795	61.705	
615	118.13	29.939	59.38	
616	118.13	34.866	56.627	
617	118.13	39.543	53.466	
618	118.13	43.935	49.92	
720	135.	43.935	49.92	
721	135.	39.543	53.466	
722	135.	34.866	56.627	
723	135.	29.939	59.38	
724	135.	24.795	61.705	
725	135.	19.473	63.585	
726	135.	14.01	65.007	
727	135.	8.4467	65.961	
728	135.	2.8223	66.44	
1647	0.	46.014	48.01	
1649	0.	41.777	51.739	
1650	8.4375	43.935	49.92	
1651	0.	37.238	55.096	
1652	8.4375	39.543	53.466	
1653	0.	32.432	58.055	
1654	8.4375	34.866	56.627	
1655	0.	27.391	60.597	
1656	8.4375	29.939	59.38	
1657	0.	22.154	62.701	
1658	8.4375	24.795	61.705	
1659	0.	16.757	64.354	
1660	8.4375	19.473	63.585	
1661	0.	11.239	65.543	
1662	8.4375	14.01	65.007	
1663	0.	5.6396	66.26	
1664	8.4375	8.4467	65.961	
1666	8.4375	2.8223	66.44	
1757	16.875	5.6396	66.26	
1758	25.313	2.8223	66.44	
1760	16.875	11.239	65.543	
1761	25.313	8.4467	65.961	
1763	16.875	16.757	64.354	
1764	25.313	14.01	65.007	
1766	16.875	22.154	62.701	
1767	25.313	19.473	63.585	
1769	16.875	27.391	60.597	
1770	25.313	24.795	61.705	
1772	16.875	32.432	58.055	
1773	25.313	29.939	59.38	
1775	16.875	37.238	55.096	
1776	25.313	34.866	56.627	
1778	16.875	41.777	51.739	
1779	25.313	39.543	53.466	
1781	16.875	46.014	48.01	
1782	25.313	43.935	49.92	
1976	33.75	5.6396	66.26	
1977	42.188	2.8223	66.44	
1979	33.75	11.239	65.543	
1980	42.188	8.4467	65.961	
1982	33.75	16.757	64.354	
1983	42.188	14.01	65.007	
1985	33.75	22.154	62.701	
1986	42.188	19.473	63.585	
1988	33.75	27.391	60.597	
1989	42.188	24.795	61.705	
1991	33.75	32.432	58.055	
1992	42.188	29.939	59.38	
1994	33.75	37.238	55.096	
1995	42.188	34.866	56.627	
1997	33.75	41.777	51.739	
1998	42.188	39.543	53.466	
2000	33.75	46.014	48.01	
2001	42.188	43.935	49.92	
2195	50.625	5.6396	66.26	
2196	59.063	2.8223	66.44	
2198	50.625	11.239	65.543	
2199	59.063	8.4467	65.961	
2201	50.625	16.757	64.354	
2202	59.063	14.01	65.007	
2204	50.625	22.154	62.701	
2205	59.063	19.473	63.585	
2207	50.625	27.391	60.597	
2208	59.063	24.795	61.705	
2210	50.625	32.432	58.055	
2211	59.063	29.939	59.38	
2213	50.625	37.238	55.096	
2214	59.063	34.866	56.627	
2216	50.625	41.777	51.739	
2217	59.063	39.543	53.466	
2219	50.625	46.014	48.01	
2220	59.063	43.935	49.92	
2414	67.5	5.6396	66.26	
2415	75.938	2.8223	66.44	
2417	67.5	11.239	65.543	
2418	75.938	8.4467	65.961	
2420	67.5	16.757	64.354	
2421	75.938	14.01	65.007	
2423	67.5	22.154	62.701	
2424	75.938	19.473	63.585	
2426	67.5	27.391	60.597	
2427	75.938	24.795	61.705	
2429	67.5	32.432	58.055	
2430	75.938	29.939	59.38	
2432	67.5	37.238	55.096	
2433	75.938	34.866	56.627	
2435	67.5	41.777	51.739	
2436	75.938	39.543	53.466	
2438	67.5	46.014	48.01	
2439	75.938	43.935	49.92	
2633	84.375	5.6396	66.26	
2634	92.813	2.8223	66.44	
2636	84.375	11.239	65.543	
2637	92.813	8.4467	65.961	
2639	84.375	16.757	64.354	
2640	92.813	14.01	65.007	
2642	84.375	22.154	62.701	
2643	92.813	19.473	63.585	
2645	84.375	27.391	60.597	
2646	92.813	24.795	61.705	
2648	84.375	32.432	58.055	
2649	92.813	29.939	59.38	
2651	84.375	37.238	55.096	
2652	92.813	34.866	56.627	
2654	84.375	41.777	51.739	
2655	92.813	39.543	53.466	
2657	84.375	46.014	48.01	
2658	92.813	43.935	49.92	
2852	101.25	5.6396	66.26	
2853	109.69	2.8223	66.44	
2855	101.25	11.239	65.543	
2856	109.69	8.4467	65.961	
2858	101.25	16.757	64.354	
2859	109.69	14.01	65.007	
2861	101.25	22.154	62.701	
2862	109.69	19.473	63.585	
2864	101.25	27.391	60.597	
2865	109.69	24.795	61.705	
2867	101.25	32.432	58.055	
2868	109.69	29.939	59.38	
2870	101.25	37.238	55.096	
2871	109.69	34.866	56.627	
2873	101.25	41.777	51.739	
2874	109.69	39.543	53.466	
2876	101.25	46.014	48.01	
2877	109.69	43.935	49.92	
3071	118.13	5.6396	66.26	
3072	126.56	2.8223	66.44	
3074	118.13	11.239	65.543	
3075	126.56	8.4467	65.961	
3077	118.13	16.757	64.354	
3078	126.56	14.01	65.007	
3080	118.13	22.154	62.701	
3081	126.56	19.473	63.585	
3083	118.13	27.391	60.597	
3084	126.56	24.795	61.705	
3086	118.13	32.432	58.055	
3087	126.56	29.939	59.38	
3089	118.13	37.238	55.096	
3090	126.56	34.866	56.627	
3092	118.13	41.777	51.739	
3093	126.56	39.543	53.466	
3095	118.13	46.014	48.01	
3096	126.56	43.935	49.92	
3343	135.	46.014	48.01	
3345	135.	41.777	51.739	
3347	135.	37.238	55.096	
3349	135.	32.432	58.055	
3351	135.	27.391	60.597	
3353	135.	22.154	62.701	
3355	135.	16.757	64.354	
3357	135.	11.239	65.543	
3359	135.	5.6396	66.26	
