節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
99	0.	2.8223	-66.44	
100	0.	8.4467	-65.961	
101	0.	14.01	-65.007	
102	0.	19.473	-63.585	
103	0.	24.795	-61.705	
104	0.	29.939	-59.38	
105	0.	34.866	-56.627	
106	0.	39.543	-53.466	
107	0.	43.935	-49.92	
200	16.875	43.935	-49.92	
201	16.875	39.543	-53.466	
202	16.875	34.866	-56.627	
203	16.875	29.939	-59.38	
204	16.875	24.795	-61.705	
205	16.875	19.473	-63.585	
206	16.875	14.01	-65.007	
207	16.875	8.4467	-65.961	
208	16.875	2.8223	-66.44	
273	33.75	43.935	-49.92	
274	33.75	39.543	-53.466	
275	33.75	34.866	-56.627	
276	33.75	29.939	-59.38	
277	33.75	24.795	-61.705	
278	33.75	19.473	-63.585	
279	33.75	14.01	-65.007	
280	33.75	8.4467	-65.961	
281	33.75	2.8223	-66.44	
346	50.625	43.935	-49.92	
347	50.625	39.543	-53.466	
348	50.625	34.866	-56.627	
349	50.625	29.939	-59.38	
350	50.625	24.795	-61.705	
351	50.625	19.473	-63.585	
352	50.625	14.01	-65.007	
353	50.625	8.4467	-65.961	
354	50.625	2.8223	-66.44	
419	67.5	43.935	-49.92	
420	67.5	39.543	-53.466	
421	67.5	34.866	-56.627	
422	67.5	29.939	-59.38	
423	67.5	24.795	-61.705	
424	67.5	19.473	-63.585	
425	67.5	14.01	-65.007	
426	67.5	8.4467	-65.961	
427	67.5	2.8223	-66.44	
492	84.375	43.935	-49.92	
493	84.375	39.543	-53.466	
494	84.375	34.866	-56.627	
495	84.375	29.939	-59.38	
496	84.375	24.795	-61.705	
497	84.375	19.473	-63.585	
498	84.375	14.01	-65.007	
499	84.375	8.4467	-65.961	
500	84.375	2.8223	-66.44	
565	101.25	43.935	-49.92	
566	101.25	39.543	-53.466	
567	101.25	34.866	-56.627	
568	101.25	29.939	-59.38	
569	101.25	24.795	-61.705	
570	101.25	19.473	-63.585	
571	101.25	14.01	-65.007	
572	101.25	8.4467	-65.961	
573	101.25	2.8223	-66.44	
638	118.13	43.935	-49.92	
639	118.13	39.543	-53.466	
640	118.13	34.866	-56.627	
641	118.13	29.939	-59.38	
642	118.13	24.795	-61.705	
643	118.13	19.473	-63.585	
644	118.13	14.01	-65.007	
645	118.13	8.4467	-65.961	
646	118.13	2.8223	-66.44	
692	135.	2.8223	-66.44	
693	135.	8.4467	-65.961	
694	135.	14.01	-65.007	
695	135.	19.473	-63.585	
696	135.	24.795	-61.705	
697	135.	29.939	-59.38	
698	135.	34.866	-56.627	
699	135.	39.543	-53.466	
700	135.	43.935	-49.92	
1593	0.	5.6396	-66.26	
1594	8.4375	2.8223	-66.44	
1595	0.	11.239	-65.543	
1596	8.4375	8.4467	-65.961	
1597	0.	16.757	-64.354	
1598	8.4375	14.01	-65.007	
1599	0.	22.154	-62.701	
1600	8.4375	19.473	-63.585	
1601	0.	27.391	-60.597	
1602	8.4375	24.795	-61.705	
1603	0.	32.432	-58.055	
1604	8.4375	29.939	-59.38	
1605	0.	37.238	-55.096	
1606	8.4375	34.866	-56.627	
1607	0.	41.777	-51.739	
1608	8.4375	39.543	-53.466	
1609	0.	46.014	-48.01	
1610	8.4375	43.935	-49.92	
1837	16.875	46.014	-48.01	
1840	16.875	41.777	-51.739	
1841	25.313	43.935	-49.92	
1843	16.875	37.238	-55.096	
1844	25.313	39.543	-53.466	
1846	16.875	32.432	-58.055	
1847	25.313	34.866	-56.627	
1849	16.875	27.391	-60.597	
1850	25.313	29.939	-59.38	
1852	16.875	22.154	-62.701	
