節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
80	0.	-66.5	-8.1439e-015	0.
81	0.	-66.26	-5.6396	0.
82	0.	-65.543	-11.239	0.
83	0.	-64.354	-16.757	0.
84	0.	-62.701	-22.154	0.
85	0.	-60.597	-27.391	0.
86	0.	-58.055	-32.432	0.
87	0.	-55.096	-37.238	0.
88	0.	-51.739	-41.777	0.
89	0.	-48.01	-46.014	0.
90	0.	-43.935	-49.92	0.
91	0.	-39.543	-53.466	0.
92	0.	-34.866	-56.627	0.
93	0.	-29.939	-59.38	0.
94	0.	-24.795	-61.705	0.
95	0.	-19.473	-63.585	0.
96	0.	-14.01	-65.007	0.
97	0.	-8.4467	-65.961	0.
98	0.	-2.8223	-66.44	0.
99	0.	2.8223	-66.44	0.
100	0.	8.4467	-65.961	0.
101	0.	14.01	-65.007	0.
102	0.	19.473	-63.585	0.
103	0.	24.795	-61.705	0.
104	0.	29.939	-59.38	0.
105	0.	34.866	-56.627	0.
106	0.	39.543	-53.466	0.
107	0.	43.935	-49.92	0.
108	0.	48.01	-46.014	0.
109	0.	51.739	-41.777	0.
110	0.	55.096	-37.238	0.
111	0.	58.055	-32.432	0.
112	0.	60.597	-27.391	0.
113	0.	62.701	-22.154	0.
114	0.	64.354	-16.757	0.
115	0.	65.543	-11.239	0.
116	0.	66.26	-5.6396	0.
117	0.	66.5	-1.9429e-013	0.
118	0.	66.26	5.6396	0.
119	0.	65.543	11.239	0.
120	0.	64.354	16.757	0.
121	0.	62.701	22.154	0.
122	0.	60.597	27.391	0.
123	0.	58.055	32.432	0.
124	0.	55.096	37.238	0.
125	0.	51.739	41.777	0.
126	0.	48.01	46.014	0.
127	0.	43.935	49.92	0.
128	0.	39.543	53.466	0.
129	0.	34.866	56.627	0.
130	0.	29.939	59.38	0.
131	0.	24.795	61.705	0.
132	0.	19.473	63.585	0.
133	0.	14.01	65.007	0.
134	0.	8.4467	65.961	0.
135	0.	2.8223	66.44	0.
136	0.	-2.8223	66.44	0.
137	0.	-8.4467	65.961	0.
138	0.	-14.01	65.007	0.
139	0.	-19.473	63.585	0.
140	0.	-24.795	61.705	0.
141	0.	-29.939	59.38	0.
142	0.	-34.866	56.627	0.
143	0.	-39.543	53.466	0.
144	0.	-43.935	49.92	0.
145	0.	-48.01	46.014	0.
146	0.	-51.739	41.777	0.
147	0.	-55.096	37.238	0.
148	0.	-58.055	32.432	0.
149	0.	-60.597	27.391	0.
150	0.	-62.701	22.154	0.
151	0.	-64.354	16.757	0.
152	0.	-66.26	5.6396	0.
153	0.	-65.543	11.239	0.
154	16.875	-66.26	5.6396	3.5565
155	16.875	-65.543	11.239	3.9269
156	16.875	-64.354	16.757	4.1832
157	16.875	-62.701	22.154	4.3179
158	16.875	-60.597	27.391	4.3271
159	16.875	-58.055	32.432	4.2107
160	16.875	-55.096	37.238	3.9722
161	16.875	-51.739	41.777	3.6188
162	16.875	-48.01	46.014	3.1609
163	16.875	-43.935	49.92	2.6123
164	16.875	-39.543	53.466	1.9892
165	16.875	-34.866	56.627	1.3102
166	16.875	-29.939	59.38	0.59518
167	16.875	-24.795	61.705	-0.13481
168	16.875	-19.473	63.585	-0.85845
169	16.875	-14.01	65.007	-1.554
170	16.875	-8.4467	65.961	-2.1997
171	16.875	-2.8223	66.44	-2.7732
172	16.875	2.8223	66.44	-3.3148
173	16.875	8.4467	65.961	-3.7201
174	16.875	14.01	65.007	-4.0534
175	16.875	19.473	63.585	-4.2593
176	16.875	24.795	61.705	-4.3382
177	16.875	29.939	59.38	-4.2879
178	16.875	34.866	56.627	-4.1115
179	16.875	39.543	53.466	-3.8153
180	16.875	43.935	49.92	-3.4084
181	16.875	48.01	46.014	-2.9031
182	16.875	51.739	41.777	-2.3146
183	16.875	55.096	37.238	-1.6602
184	16.875	58.055	32.432	-0.95884
185	16.875	60.597	27.391	-0.23067
186	16.875	62.701	22.154	0.50367
187	16.875	64.354	16.757	1.2228
188	16.875	65.543	11.239	1.905
189	16.875	66.26	5.6396	2.5242
190	16.875	66.5	-1.9429e-013	3.075
191	16.875	66.26	-5.6396	3.5613
192	16.875	65.543	-11.239	3.9299
193	16.875	64.354	-16.757	4.1868
194	16.875	62.701	-22.154	4.3206
195	16.875	60.597	-27.391	4.3287
196	16.875	58.055	-32.432	4.2112
197	16.875	55.096	-37.238	3.9717
198	16.875	51.739	-41.777	3.6174
199	16.875	48.01	-46.014	3.1588
200	16.875	43.935	-49.92	2.6094
201	16.875	39.543	-53.466	1.9856
202	16.875	34.866	-56.627	1.3059
203	16.875	29.939	-59.38	0.59031
204	16.875	24.795	-61.705	-0.1401
205	16.875	19.473	-63.585	-0.86394
206	16.875	14.01	-65.007	-1.5594
207	16.875	8.4467	-65.961	-2.2045
208	16.875	2.8223	-66.44	-2.7768
209	16.875	-2.8223	-66.44	-3.3163
210	16.875	-8.4467	-65.961	-3.7175
211	16.875	-14.01	-65.007	-4.0439
212	16.875	-19.473	-63.585	-4.2399
213	16.875	-24.795	-61.705	-4.3015
214	16.875	-29.939	-59.38	-4.2629
215	16.875	-34.866	-56.627	-4.0741
216	16.875	-39.543	-53.466	-3.796
217	16.875	-43.935	-49.92	-3.4109
218	16.875	-48.01	-46.014	-2.9215
219	16.875	-51.739	-41.777	-2.3445
220	16.875	-55.096	-37.238	-1.6972
221	16.875	-58.055	-32.432	-0.99893
222	16.875	-60.597	-27.391	-0.27026
223	16.875	-62.701	-22.154	0.46736
224	16.875	-64.354	-16.757	1.1922
225	16.875	-65.543	-11.239	1.8829
226	16.875	-66.26	-5.6396	2.5193
227	33.75	-66.26	5.6396	8.8325
228	33.75	-65.543	11.239	9.752
229	33.75	-64.354	16.757	10.39
230	33.75	-62.701	22.154	10.73
231	33.75	-60.597	27.391	10.76
232	33.75	-58.055	32.432	10.48
233	33.75	-55.096	37.238	9.8979
234	33.75	-51.739	41.777	9.0312
235	33.75	-48.01	46.014	7.9047
236	33.75	-43.935	49.92	6.551
237	33.75	-39.543	53.466	5.0094
238	33.75	-34.866	56.627	3.3244
239	33.75	-29.939	59.38	1.5447
240	33.75	-24.795	61.705	-0.27851
241	33.75	-19.473	63.585	-2.0934
242	33.75	-14.01	65.007	-3.8491
243	33.75	-8.4467	65.961	-5.4956
244	33.75	-2.8223	66.44	-6.9849
245	33.75	2.8223	66.44	-8.293
246	33.75	8.4467	65.961	-9.32
247	33.75	14.01	65.007	-10.11
248	33.75	19.473	63.585	-10.601
249	33.75	24.795	61.705	-10.789
250	33.75	29.939	59.38	-10.666
251	33.75	34.866	56.627	-10.236
252	33.75	39.543	53.466	-9.5098
253	33.75	43.935	49.92	-8.5097
254	33.75	48.01	46.014	-7.2645
255	33.75	51.739	41.777	-5.8101
256	33.75	55.096	37.238	-4.1887
257	33.75	58.055	32.432	-2.4469
258	33.75	60.597	27.391	-0.63496
259	33.75	62.701	22.154	1.1957
260	33.75	64.354	16.757	2.9928
261	33.75	65.543	11.239	4.7059
262	33.75	66.26	5.6396	6.2791
263	33.75	66.5	-1.9429e-013	7.6714
264	33.75	66.26	-5.6396	8.851
265	33.75	65.543	-11.239	9.7688
266	33.75	64.354	-16.757	10.404
267	33.75	62.701	-22.154	10.74
268	33.75	60.597	-27.391	10.767
269	33.75	58.055	-32.432	10.484
270	33.75	55.096	-37.238	9.8992
271	33.75	51.739	-41.777	9.0299
272	33.75	48.01	-46.014	7.9008
273	33.75	43.935	-49.92	6.5447
274	33.75	39.543	-53.466	5.0009
275	33.75	34.866	-56.627	3.314
276	33.75	29.939	-59.38	1.5329
277	33.75	24.795	-61.705	-0.29126
278	33.75	19.473	-63.585	-2.1063
279	33.75	14.01	-65.007	-3.8614
280	33.75	8.4467	-65.961	-5.5061
281	33.75	2.8223	-66.44	-6.9927
282	33.75	-2.8223	-66.44	-8.2969
283	33.75	-8.4467	-65.961	-9.3192
284	33.75	-14.01	-65.007	-10.104
285	33.75	-19.473	-63.585	-10.592
286	33.75	-24.795	-61.705	-10.771
287	33.75	-29.939	-59.38	-10.668
288	33.75	-34.866	-56.627	-10.226
289	33.75	-39.543	-53.466	-9.4929
290	33.75	-43.935	-49.92	-8.4966
291	33.75	-48.01	-46.014	-7.2558
292	33.75	-51.739	-41.777	-5.8072
293	33.75	-55.096	-37.238	-4.191
294	33.75	-58.055	-32.432	-2.4532
295	33.75	-60.597	-27.391	-0.64398
296	33.75	-62.701	-22.154	1.1846
297	33.75	-64.354	-16.757	2.9796
298	33.75	-65.543	-11.239	4.6893
299	33.75	-66.26	-5.6396	6.2641
300	50.625	-66.26	5.6396	14.341
301	50.625	-65.543	11.239	15.834
302	50.625	-64.354	16.757	16.871
303	50.625	-62.701	22.154	17.423
304	50.625	-60.597	27.391	17.473
305	50.625	-58.055	32.432	17.021
306	50.625	-55.096	37.238	16.08
307	50.625	-51.739	41.777	14.676
308	50.625	-48.01	46.014	12.85
309	50.625	-43.935	49.92	10.655
310	50.625	-39.543	53.466	8.1531
311	50.625	-34.866	56.627	5.4167
312	50.625	-29.939	59.38	2.5242
313	50.625	-24.795	61.705	-0.44145
314	50.625	-19.473	63.585	-3.395
315	50.625	-14.01	65.007	-6.2525
316	50.625	-8.4467	65.961	-8.9311
317	50.625	-2.8223	66.44	-11.355
318	50.625	2.8223	66.44	-13.462
319	50.625	8.4467	65.961	-15.148
320	50.625	14.01	65.007	-16.422
321	50.625	19.473	63.585	-17.219
322	50.625	24.795	61.705	-17.523
323	50.625	29.939	59.38	-17.323
324	50.625	34.866	56.627	-16.625
325	50.625	39.543	53.466	-15.447
326	50.625	43.935	49.92	-13.826
327	50.625	48.01	46.014	-11.806
328	50.625	51.739	41.777	-9.4457
329	50.625	55.096	37.238	-6.8133
330	50.625	58.055	32.432	-3.9844
331	50.625	60.597	27.391	-1.0403
332	50.625	62.701	22.154	1.9345
333	50.625	64.354	16.757	4.8538
334	50.625	65.543	11.239	7.6352
335	50.625	66.26	5.6396	10.192
336	50.625	66.5	-1.9429e-013	12.457
337	50.625	66.26	-5.6396	14.367
338	50.625	65.543	-11.239	15.858
339	50.625	64.354	-16.757	16.893
340	50.625	62.701	-22.154	17.442
341	50.625	60.597	-27.391	17.489
342	50.625	58.055	-32.432	17.033
343	50.625	55.096	-37.238	16.087
344	50.625	51.739	-41.777	14.678
345	50.625	48.01	-46.014	12.847
346	50.625	43.935	-49.92	10.647
347	50.625	39.543	-53.466	8.1411
348	50.625	34.866	-56.627	5.4011
349	50.625	29.939	-59.38	2.506
350	50.625	24.795	-61.705	-0.46116
351	50.625	19.473	-63.585	-3.4151
352	50.625	14.01	-65.007	-6.2715
353	50.625	8.4467	-65.961	-8.9478
354	50.625	2.8223	-66.44	-11.368
355	50.625	-2.8223	-66.44	-13.47
356	50.625	-8.4467	-65.961	-15.152
357	50.625	-14.01	-65.007	-16.42
358	50.625	-19.473	-63.585	-17.214
359	50.625	-24.795	-61.705	-17.51
360	50.625	-29.939	-59.38	-17.328
361	50.625	-34.866	-56.627	-16.618
362	50.625	-39.543	-53.466	-15.428
363	50.625	-43.935	-49.92	-13.806
364	50.625	-48.01	-46.014	-11.786
365	50.625	-51.739	-41.777	-9.4276
366	50.625	-55.096	-37.238	-6.7987
367	50.625	-58.055	-32.432	-3.9745
368	50.625	-60.597	-27.391	-1.036
369	50.625	-62.701	-22.154	1.9324
370	50.625	-64.354	-16.757	4.8455
371	50.625	-65.543	-11.239	7.6193
372	50.625	-66.26	-5.6396	10.174
373	67.5	-66.26	5.6396	20.33
374	67.5	-65.543	11.239	22.446
375	67.5	-64.354	16.757	23.916
376	67.5	-62.701	22.154	24.699
377	67.5	-60.597	27.391	24.772
378	67.5	-58.055	32.432	24.133
379	67.5	-55.096	37.238	22.8
380	67.5	-51.739	41.777	20.812
381	67.5	-48.01	46.014	18.225
382	67.5	-43.935	49.92	15.114
383	67.5	-39.543	53.466	11.567
384	67.5	-34.866	56.627	7.6871
385	67.5	-29.939	59.38	3.5851
386	67.5	-24.795	61.705	-0.62125
387	67.5	-19.473	63.585	-4.8107
388	67.5	-14.01	65.007	-8.8632
389	67.5	-8.4467	65.961	-12.661
