節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
118	0.	66.26	5.6396	
119	0.	65.543	11.239	
120	0.	64.354	16.757	
121	0.	62.701	22.154	
122	0.	60.597	27.391	
123	0.	58.055	32.432	
124	0.	55.096	37.238	
125	0.	51.739	41.777	
126	0.	48.01	46.014	
181	16.875	48.01	46.014	
182	16.875	51.739	41.777	
183	16.875	55.096	37.238	
184	16.875	58.055	32.432	
185	16.875	60.597	27.391	
186	16.875	62.701	22.154	
187	16.875	64.354	16.757	
188	16.875	65.543	11.239	
189	16.875	66.26	5.6396	
254	33.75	48.01	46.014	
255	33.75	51.739	41.777	
256	33.75	55.096	37.238	
257	33.75	58.055	32.432	
258	33.75	60.597	27.391	
259	33.75	62.701	22.154	
260	33.75	64.354	16.757	
261	33.75	65.543	11.239	
262	33.75	66.26	5.6396	
327	50.625	48.01	46.014	
328	50.625	51.739	41.777	
329	50.625	55.096	37.238	
330	50.625	58.055	32.432	
331	50.625	60.597	27.391	
332	50.625	62.701	22.154	
333	50.625	64.354	16.757	
334	50.625	65.543	11.239	
335	50.625	66.26	5.6396	
400	67.5	48.01	46.014	
401	67.5	51.739	41.777	
402	67.5	55.096	37.238	
403	67.5	58.055	32.432	
404	67.5	60.597	27.391	
405	67.5	62.701	22.154	
406	67.5	64.354	16.757	
407	67.5	65.543	11.239	
408	67.5	66.26	5.6396	
473	84.375	48.01	46.014	
474	84.375	51.739	41.777	
475	84.375	55.096	37.238	
476	84.375	58.055	32.432	
477	84.375	60.597	27.391	
478	84.375	62.701	22.154	
479	84.375	64.354	16.757	
480	84.375	65.543	11.239	
481	84.375	66.26	5.6396	
546	101.25	48.01	46.014	
547	101.25	51.739	41.777	
548	101.25	55.096	37.238	
549	101.25	58.055	32.432	
550	101.25	60.597	27.391	
551	101.25	62.701	22.154	
552	101.25	64.354	16.757	
553	101.25	65.543	11.239	
554	101.25	66.26	5.6396	
619	118.13	48.01	46.014	
620	118.13	51.739	41.777	
621	118.13	55.096	37.238	
622	118.13	58.055	32.432	
623	118.13	60.597	27.391	
624	118.13	62.701	22.154	
625	118.13	64.354	16.757	
626	118.13	65.543	11.239	
627	118.13	66.26	5.6396	
711	135.	66.26	5.6396	
712	135.	65.543	11.239	
713	135.	64.354	16.757	
714	135.	62.701	22.154	
715	135.	60.597	27.391	
716	135.	58.055	32.432	
717	135.	55.096	37.238	
718	135.	51.739	41.777	
719	135.	48.01	46.014	
1629	0.	66.44	2.8223	
1631	0.	65.961	8.4467	
1632	8.4375	66.26	5.6396	
1633	0.	65.007	14.01	
1634	8.4375	65.543	11.239	
1635	0.	63.585	19.473	
1636	8.4375	64.354	16.757	
1637	0.	61.705	24.795	
1638	8.4375	62.701	22.154	
1639	0.	59.38	29.939	
1640	8.4375	60.597	27.391	
1641	0.	56.627	34.866	
1642	8.4375	58.055	32.432	
1643	0.	53.466	39.543	
1644	8.4375	55.096	37.238	
1645	0.	49.92	43.935	
1646	8.4375	51.739	41.777	
1648	8.4375	48.01	46.014	
1784	16.875	49.92	43.935	
1785	25.313	48.01	46.014	
1787	16.875	53.466	39.543	
1788	25.313	51.739	41.777	
1790	16.875	56.627	34.866	
1791	25.313	55.096	37.238	
1793	16.875	59.38	29.939	
1794	25.313	58.055	32.432	
1796	16.875	61.705	24.795	
1797	25.313	60.597	27.391	
1799	16.875	63.585	19.473	
1800	25.313	62.701	22.154	
1802	16.875	65.007	14.01	
1803	25.313	64.354	16.757	
1805	16.875	65.961	8.4467	
1806	25.313	65.543	11.239	
1808	16.875	66.44	2.8223	
1809	25.313	66.26	5.6396	
2003	33.75	49.92	43.935	
2004	42.188	48.01	46.014	
2006	33.75	53.466	39.543	
2007	42.188	51.739	41.777	
2009	33.75	56.627	34.866	
2010	42.188	55.096	37.238	
2012	33.75	59.38	29.939	
2013	42.188	58.055	32.432	
2015	33.75	61.705	24.795	
2016	42.188	60.597	27.391	
2018	33.75	63.585	19.473	
2019	42.188	62.701	22.154	
2021	33.75	65.007	14.01	
2022	42.188	64.354	16.757	
2024	33.75	65.961	8.4467	
2025	42.188	65.543	11.239	
2027	33.75	66.44	2.8223	
2028	42.188	66.26	5.6396	
2222	50.625	49.92	43.935	
2223	59.063	48.01	46.014	
2225	50.625	53.466	39.543	
2226	59.063	51.739	41.777	
2228	50.625	56.627	34.866	
2229	59.063	55.096	37.238	
2231	50.625	59.38	29.939	
2232	59.063	58.055	32.432	
2234	50.625	61.705	24.795	
2235	59.063	60.597	27.391	
2237	50.625	63.585	19.473	
2238	59.063	62.701	22.154	
2240	50.625	65.007	14.01	
2241	59.063	64.354	16.757	
2243	50.625	65.961	8.4467	
2244	59.063	65.543	11.239	
2246	50.625	66.44	2.8223	
2247	59.063	66.26	5.6396	
2441	67.5	49.92	43.935	
2442	75.938	48.01	46.014	
2444	67.5	53.466	39.543	
2445	75.938	51.739	41.777	
2447	67.5	56.627	34.866	
2448	75.938	55.096	37.238	
2450	67.5	59.38	29.939	
2451	75.938	58.055	32.432	
2453	67.5	61.705	24.795	
2454	75.938	60.597	27.391	
2456	67.5	63.585	19.473	
2457	75.938	62.701	22.154	
2459	67.5	65.007	14.01	
2460	75.938	64.354	16.757	
2462	67.5	65.961	8.4467	
2463	75.938	65.543	11.239	
2465	67.5	66.44	2.8223	
2466	75.938	66.26	5.6396	
2660	84.375	49.92	43.935	
2661	92.813	48.01	46.014	
2663	84.375	53.466	39.543	
2664	92.813	51.739	41.777	
2666	84.375	56.627	34.866	
2667	92.813	55.096	37.238	
2669	84.375	59.38	29.939	
2670	92.813	58.055	32.432	
2672	84.375	61.705	24.795	
2673	92.813	60.597	27.391	
2675	84.375	63.585	19.473	
2676	92.813	62.701	22.154	
2678	84.375	65.007	14.01	
2679	92.813	64.354	16.757	
2681	84.375	65.961	8.4467	
2682	92.813	65.543	11.239	
2684	84.375	66.44	2.8223	
2685	92.813	66.26	5.6396	
2879	101.25	49.92	43.935	
2880	109.69	48.01	46.014	
2882	101.25	53.466	39.543	
2883	109.69	51.739	41.777	
2885	101.25	56.627	34.866	
2886	109.69	55.096	37.238	
2888	101.25	59.38	29.939	
2889	109.69	58.055	32.432	
2891	101.25	61.705	24.795	
2892	109.69	60.597	27.391	
2894	101.25	63.585	19.473	
2895	109.69	62.701	22.154	
2897	101.25	65.007	14.01	
2898	109.69	64.354	16.757	
2900	101.25	65.961	8.4467	
2901	109.69	65.543	11.239	
2903	101.25	66.44	2.8223	
2904	109.69	66.26	5.6396	
3098	118.13	49.92	43.935	
3099	126.56	48.01	46.014	
3101	118.13	53.466	39.543	
3102	126.56	51.739	41.777	
3104	118.13	56.627	34.866	
3105	126.56	55.096	37.238	
3107	118.13	59.38	29.939	
3108	126.56	58.055	32.432	
3110	118.13	61.705	24.795	
3111	126.56	60.597	27.391	
3113	118.13	63.585	19.473	
3114	126.56	62.701	22.154	
3116	118.13	65.007	14.01	
3117	126.56	64.354	16.757	
3119	118.13	65.961	8.4467	
3120	126.56	65.543	11.239	
3122	118.13	66.44	2.8223	
3123	126.56	66.26	5.6396	
3326	135.	66.44	2.8223	
3327	135.	65.961	8.4467	
3329	135.	65.007	14.01	
3331	135.	63.585	19.473	
3333	135.	61.705	24.795	
3335	135.	59.38	29.939	
3337	135.	56.627	34.866	
3339	135.	53.466	39.543	
3341	135.	49.92	43.935	
