節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
80	0.	-66.5	-8.1439e-015	0.
81	0.	-66.26	-5.6396	0.
82	0.	-65.543	-11.239	0.
83	0.	-64.354	-16.757	0.
84	0.	-62.701	-22.154	0.
85	0.	-60.597	-27.391	0.
86	0.	-58.055	-32.432	0.
87	0.	-55.096	-37.238	0.
88	0.	-51.739	-41.777	0.
89	0.	-48.01	-46.014	0.
90	0.	-43.935	-49.92	0.
91	0.	-39.543	-53.466	0.
92	0.	-34.866	-56.627	0.
93	0.	-29.939	-59.38	0.
94	0.	-24.795	-61.705	0.
95	0.	-19.473	-63.585	0.
96	0.	-14.01	-65.007	0.
97	0.	-8.4467	-65.961	0.
98	0.	-2.8223	-66.44	0.
99	0.	2.8223	-66.44	0.
100	0.	8.4467	-65.961	0.
101	0.	14.01	-65.007	0.
102	0.	19.473	-63.585	0.
103	0.	24.795	-61.705	0.
104	0.	29.939	-59.38	0.
105	0.	34.866	-56.627	0.
106	0.	39.543	-53.466	0.
107	0.	43.935	-49.92	0.
108	0.	48.01	-46.014	0.
109	0.	51.739	-41.777	0.
110	0.	55.096	-37.238	0.
111	0.	58.055	-32.432	0.
112	0.	60.597	-27.391	0.
113	0.	62.701	-22.154	0.
114	0.	64.354	-16.757	0.
115	0.	65.543	-11.239	0.
116	0.	66.26	-5.6396	0.
117	0.	66.5	-1.9429e-013	0.
118	0.	66.26	5.6396	0.
119	0.	65.543	11.239	0.
120	0.	64.354	16.757	0.
121	0.	62.701	22.154	0.
122	0.	60.597	27.391	0.
123	0.	58.055	32.432	0.
124	0.	55.096	37.238	0.
125	0.	51.739	41.777	0.
126	0.	48.01	46.014	0.
127	0.	43.935	49.92	0.
128	0.	39.543	53.466	0.
129	0.	34.866	56.627	0.
130	0.	29.939	59.38	0.
131	0.	24.795	61.705	0.
132	0.	19.473	63.585	0.
133	0.	14.01	65.007	0.
134	0.	8.4467	65.961	0.
135	0.	2.8223	66.44	0.
136	0.	-2.8223	66.44	0.
137	0.	-8.4467	65.961	0.
138	0.	-14.01	65.007	0.
139	0.	-19.473	63.585	0.
140	0.	-24.795	61.705	0.
141	0.	-29.939	59.38	0.
142	0.	-34.866	56.627	0.
143	0.	-39.543	53.466	0.
144	0.	-43.935	49.92	0.
145	0.	-48.01	46.014	0.
146	0.	-51.739	41.777	0.
147	0.	-55.096	37.238	0.
148	0.	-58.055	32.432	0.
149	0.	-60.597	27.391	0.
150	0.	-62.701	22.154	0.
151	0.	-64.354	16.757	0.
152	0.	-66.26	5.6396	0.
153	0.	-65.543	11.239	0.
154	16.875	-66.26	5.6396	-2.6469
155	16.875	-65.543	11.239	-3.1179
156	16.875	-64.354	16.757	-3.3863
157	16.875	-62.701	22.154	-3.4348
158	16.875	-60.597	27.391	-3.2603
159	16.875	-58.055	32.432	-2.8745
160	16.875	-55.096	37.238	-2.3027
161	16.875	-51.739	41.777	-1.5825
162	16.875	-48.01	46.014	-0.76095
163	16.875	-43.935	49.92	0.10816
164	16.875	-39.543	53.466	0.96827
165	16.875	-34.866	56.627	1.7637
166	16.875	-29.939	59.38	2.4433
167	16.875	-24.795	61.705	2.9642
168	16.875	-19.473	63.585	3.2941
169	16.875	-14.01	65.007	3.4116
170	16.875	-8.4467	65.961	3.3093
171	16.875	-2.8223	66.44	2.9872
172	16.875	2.8223	66.44	2.5195
173	16.875	8.4467	65.961	1.8348
174	16.875	14.01	65.007	1.0519
175	16.875	19.473	63.585	0.19661
176	16.875	24.795	61.705	-0.6743
177	16.875	29.939	59.38	-1.5029
178	16.875	34.866	56.627	-2.2338
179	16.875	39.543	53.466	-2.8189
180	16.875	43.935	49.92	-3.2202
181	16.875	48.01	46.014	-3.4119
182	16.875	51.739	41.777	-3.382
183	16.875	55.096	37.238	-3.1329
184	16.875	58.055	32.432	-2.6813
185	16.875	60.597	27.391	-2.057
186	16.875	62.701	22.154	-1.3005
187	16.875	64.354	16.757	-0.46102
188	16.875	65.543	11.239	0.40644
189	16.875	66.26	5.6396	1.2423
190	16.875	66.5	-1.9429e-013	2.0008
191	16.875	66.26	-5.6396	2.6465
192	16.875	65.543	-11.239	3.1159
193	16.875	64.354	-16.757	3.3826
194	16.875	62.701	-22.154	3.4292
195	16.875	60.597	-27.391	3.2529
196	16.875	58.055	-32.432	2.8657
197	16.875	55.096	-37.238	2.2928
198	16.875	51.739	-41.777	1.5719
199	16.875	48.01	-46.014	0.75024
200	16.875	43.935	-49.92	-0.11855
201	16.875	39.543	-53.466	-0.97786
202	16.875	34.866	-56.627	-1.772
203	16.875	29.939	-59.38	-2.45
204	16.875	24.795	-61.705	-2.9689
205	16.875	19.473	-63.585	-3.2965
206	16.875	14.01	-65.007	-3.4118
207	16.875	8.4467	-65.961	-3.3072
208	16.875	2.8223	-66.44	-2.9832
209	16.875	-2.8223	-66.44	-2.514
210	16.875	-8.4467	-65.961	-1.8289
211	16.875	-14.01	-65.007	-1.0475
212	16.875	-19.473	-63.585	-0.19584
213	16.875	-24.795	-61.705	0.66764
214	16.875	-29.939	-59.38	1.5
215	16.875	-34.866	-56.627	2.2096
216	16.875	-39.543	-53.466	2.7999
217	16.875	-43.935	-49.92	3.2102
218	16.875	-48.01	-46.014	3.4131
219	16.875	-51.739	-41.777	3.3957
220	16.875	-55.096	-37.238	3.1587
221	16.875	-58.055	-32.432	2.7167
222	16.875	-60.597	-27.391	2.0978
223	16.875	-62.701	-22.154	1.342
224	16.875	-64.354	-16.757	0.49834
225	16.875	-65.543	-11.239	-0.3784
226	16.875	-66.26	-5.6396	-1.231
227	33.75	-66.26	5.6396	-7.3191
228	33.75	-65.543	11.239	-8.6223
229	33.75	-64.354	16.757	-9.3691
230	33.75	-62.701	22.154	-9.5113
231	33.75	-60.597	27.391	-9.0396
232	33.75	-58.055	32.432	-7.9845
233	33.75	-55.096	37.238	-6.4139
234	33.75	-51.739	41.777	-4.4295
235	33.75	-48.01	46.014	-2.1592
236	33.75	-43.935	49.92	0.25024
237	33.75	-39.543	53.466	2.643
238	33.75	-34.866	56.627	4.8645
239	33.75	-29.939	59.38	6.7712
240	33.75	-24.795	61.705	8.2398
241	33.75	-19.473	63.585	9.1764
242	33.75	-14.01	65.007	9.5193
243	33.75	-8.4467	65.961	9.2499
244	33.75	-2.8223	66.44	8.3707
245	33.75	2.8223	66.44	6.9796
246	33.75	8.4467	65.961	5.1145
247	33.75	14.01	65.007	2.9392
248	33.75	19.473	63.585	0.56362
249	33.75	24.795	61.705	-1.8491
250	33.75	29.939	59.38	-4.1434
251	33.75	34.866	56.627	-6.1706
252	33.75	39.543	53.466	-7.7997
253	33.75	43.935	49.92	-8.9252
254	33.75	48.01	46.014	-9.4743
255	33.75	51.739	41.777	-9.4112
256	33.75	55.096	37.238	-8.74
257	33.75	58.055	32.432	-7.5038
258	33.75	60.597	27.391	-5.7823
259	33.75	62.701	22.154	-3.6862
260	33.75	64.354	16.757	-1.3503
261	33.75	65.543	11.239	1.0755
262	33.75	66.26	5.6396	3.4314
263	33.75	66.5	-1.9429e-013	5.5668
264	33.75	66.26	-5.6396	7.3343
265	33.75	65.543	-11.239	8.6292
266	33.75	64.354	-16.757	9.368
267	33.75	62.701	-22.154	9.5028
268	33.75	60.597	-27.391	9.025
269	33.75	58.055	-32.432	7.9648
270	33.75	55.096	-37.238	6.3905
271	33.75	51.739	-41.777	4.4035
272	33.75	48.01	-46.014	2.132
273	33.75	43.935	-49.92	-0.27721
274	33.75	39.543	-53.466	-2.6684
275	33.75	34.866	-56.627	-4.887
276	33.75	29.939	-59.38	-6.7897
277	33.75	24.795	-61.705	-8.2533
278	33.75	19.473	-63.585	-9.1844
279	33.75	14.01	-65.007	-9.5214
280	33.75	8.4467	-65.961	-9.2463
281	33.75	2.8223	-66.44	-8.3619
282	33.75	-2.8223	-66.44	-6.9665
283	33.75	-8.4467	-65.961	-5.0986
284	33.75	-14.01	-65.007	-2.922
285	33.75	-19.473	-63.585	-0.54623
286	33.75	-24.795	-61.705	1.8611
287	33.75	-29.939	-59.38	4.1607
288	33.75	-34.866	-56.627	6.1761
289	33.75	-39.543	-53.466	7.8076
290	33.75	-43.935	-49.92	8.9314
291	33.75	-48.01	-46.014	9.4803
292	33.75	-51.739	-41.777	9.4172
293	33.75	-55.096	-37.238	8.7465
294	33.75	-58.055	-32.432	7.5112
295	33.75	-60.597	-27.391	5.7908
296	33.75	-62.701	-22.154	3.6966
297	33.75	-64.354	-16.757	1.3636
298	33.75	-65.543	-11.239	-1.0576
299	33.75	-66.26	-5.6396	-3.4107
300	50.625	-66.26	5.6396	-12.884
301	50.625	-65.543	11.239	-15.178
302	50.625	-64.354	16.757	-16.495
303	50.625	-62.701	22.154	-16.748
304	50.625	-60.597	27.391	-15.921
305	50.625	-58.055	32.432	-14.068
306	50.625	-55.096	37.238	-11.307
307	50.625	-51.739	41.777	-7.8162
308	50.625	-48.01	46.014	-3.8205
309	50.625	-43.935	49.92	0.42277
310	50.625	-39.543	53.466	4.6399
311	50.625	-34.866	56.627	8.5586
312	50.625	-29.939	59.38	11.926
313	50.625	-24.795	61.705	14.523
314	50.625	-19.473	63.585	16.181
315	50.625	-14.01	65.007	16.791
316	50.625	-8.4467	65.961	16.316
317	50.625	-2.8223	66.44	14.766
318	50.625	2.8223	66.44	12.291
319	50.625	8.4467	65.961	9.0148
320	50.625	14.01	65.007	5.1717
321	50.625	19.473	63.585	0.99013
322	50.625	24.795	61.705	-3.2557
323	50.625	29.939	59.38	-7.2936
324	50.625	34.866	56.627	-10.863
325	50.625	39.543	53.466	-13.732
326	50.625	43.935	49.92	-15.717
327	50.625	48.01	46.014	-16.688
328	50.625	51.739	41.777	-16.582
329	50.625	55.096	37.238	-15.405
330	50.625	58.055	32.432	-13.232
331	50.625	60.597	27.391	-10.203
332	50.625	62.701	22.154	-6.511
333	50.625	64.354	16.757	-2.3955
334	50.625	65.543	11.239	1.879
335	50.625	66.26	5.6396	6.0323
336	50.625	66.5	-1.9429e-013	9.8003
337	50.625	66.26	-5.6396	12.911
338	50.625	65.543	-11.239	15.193
339	50.625	64.354	-16.757	16.498
340	50.625	62.701	-22.154	16.74
341	50.625	60.597	-27.391	15.902
342	50.625	58.055	-32.432	14.04
343	50.625	55.096	-37.238	11.271
344	50.625	51.739	-41.777	7.7753
345	50.625	48.01	-46.014	3.7765
346	50.625	43.935	-49.92	-0.46741
347	50.625	39.543	-53.466	-4.6827
348	50.625	34.866	-56.627	-8.5973
349	50.625	29.939	-59.38	-11.958
350	50.625	24.795	-61.705	-14.547
351	50.625	19.473	-63.585	-16.197
352	50.625	14.01	-65.007	-16.796
353	50.625	8.4467	-65.961	-16.312
354	50.625	2.8223	-66.44	-14.753
355	50.625	-2.8223	-66.44	-12.27
356	50.625	-8.4467	-65.961	-8.9876
357	50.625	-14.01	-65.007	-5.1405
358	50.625	-19.473	-63.585	-0.95612
359	50.625	-24.795	-61.705	3.2874
360	50.625	-29.939	-59.38	7.3328
361	50.625	-34.866	-56.627	10.889
362	50.625	-39.543	-53.466	13.763
363	50.625	-43.935	-49.92	15.741
364	50.625	-48.01	-46.014	16.704
365	50.625	-51.739	-41.777	16.588
366	50.625	-55.096	-37.238	15.402
367	50.625	-58.055	-32.432	13.223
368	50.625	-60.597	-27.391	10.191
369	50.625	-62.701	-22.154	6.5031
370	50.625	-64.354	-16.757	2.3961
371	50.625	-65.543	-11.239	-1.865
372	50.625	-66.26	-5.6396	-6.0058
373	67.5	-66.26	5.6396	-19.174
374	67.5	-65.543	11.239	-22.589
375	67.5	-64.354	16.757	-24.549
376	67.5	-62.701	22.154	-24.927
377	67.5	-60.597	27.391	-23.699
378	67.5	-58.055	32.432	-20.942
379	67.5	-55.096	37.238	-16.835
380	67.5	-51.739	41.777	-11.64
381	67.5	-48.01	46.014	-5.6936
382	67.5	-43.935	49.92	0.62284
383	67.5	-39.543	53.466	6.9014
384	67.5	-34.866	56.627	12.737
385	67.5	-29.939	59.38	17.751
386	67.5	-24.795	61.705	21.62
387	67.5	-19.473	63.585	24.091
388	67.5	-14.01	65.007	24.998
389	67.5	-8.4467	65.961	24.292
