節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
136	0.	-2.8223	66.44	
137	0.	-8.4467	65.961	
138	0.	-14.01	65.007	
139	0.	-19.473	63.585	
140	0.	-24.795	61.705	
141	0.	-29.939	59.38	
142	0.	-34.866	56.627	
143	0.	-39.543	53.466	
144	0.	-43.935	49.92	
163	16.875	-43.935	49.92	
164	16.875	-39.543	53.466	
165	16.875	-34.866	56.627	
166	16.875	-29.939	59.38	
167	16.875	-24.795	61.705	
168	16.875	-19.473	63.585	
169	16.875	-14.01	65.007	
170	16.875	-8.4467	65.961	
171	16.875	-2.8223	66.44	
236	33.75	-43.935	49.92	
237	33.75	-39.543	53.466	
238	33.75	-34.866	56.627	
239	33.75	-29.939	59.38	
240	33.75	-24.795	61.705	
241	33.75	-19.473	63.585	
242	33.75	-14.01	65.007	
243	33.75	-8.4467	65.961	
244	33.75	-2.8223	66.44	
309	50.625	-43.935	49.92	
310	50.625	-39.543	53.466	
311	50.625	-34.866	56.627	
312	50.625	-29.939	59.38	
313	50.625	-24.795	61.705	
314	50.625	-19.473	63.585	
315	50.625	-14.01	65.007	
316	50.625	-8.4467	65.961	
317	50.625	-2.8223	66.44	
382	67.5	-43.935	49.92	
383	67.5	-39.543	53.466	
384	67.5	-34.866	56.627	
385	67.5	-29.939	59.38	
386	67.5	-24.795	61.705	
387	67.5	-19.473	63.585	
388	67.5	-14.01	65.007	
389	67.5	-8.4467	65.961	
390	67.5	-2.8223	66.44	
455	84.375	-43.935	49.92	
456	84.375	-39.543	53.466	
457	84.375	-34.866	56.627	
458	84.375	-29.939	59.38	
459	84.375	-24.795	61.705	
460	84.375	-19.473	63.585	
461	84.375	-14.01	65.007	
462	84.375	-8.4467	65.961	
463	84.375	-2.8223	66.44	
528	101.25	-43.935	49.92	
529	101.25	-39.543	53.466	
530	101.25	-34.866	56.627	
531	101.25	-29.939	59.38	
532	101.25	-24.795	61.705	
533	101.25	-19.473	63.585	
534	101.25	-14.01	65.007	
535	101.25	-8.4467	65.961	
536	101.25	-2.8223	66.44	
601	118.13	-43.935	49.92	
602	118.13	-39.543	53.466	
603	118.13	-34.866	56.627	
604	118.13	-29.939	59.38	
605	118.13	-24.795	61.705	
606	118.13	-19.473	63.585	
607	118.13	-14.01	65.007	
608	118.13	-8.4467	65.961	
609	118.13	-2.8223	66.44	
729	135.	-2.8223	66.44	
730	135.	-8.4467	65.961	
731	135.	-14.01	65.007	
732	135.	-19.473	63.585	
733	135.	-24.795	61.705	
734	135.	-29.939	59.38	
735	135.	-34.866	56.627	
736	135.	-39.543	53.466	
737	135.	-43.935	49.92	
1665	0.	3.7322e-013	66.5	
1667	0.	-5.6396	66.26	
1668	8.4375	-2.8223	66.44	
1669	0.	-11.239	65.543	
1670	8.4375	-8.4467	65.961	
