節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
81	0.	-66.26	-5.6396	
82	0.	-65.543	-11.239	
83	0.	-64.354	-16.757	
84	0.	-62.701	-22.154	
85	0.	-60.597	-27.391	
86	0.	-58.055	-32.432	
87	0.	-55.096	-37.238	
88	0.	-51.739	-41.777	
89	0.	-48.01	-46.014	
218	16.875	-48.01	-46.014	
219	16.875	-51.739	-41.777	
220	16.875	-55.096	-37.238	
221	16.875	-58.055	-32.432	
222	16.875	-60.597	-27.391	
223	16.875	-62.701	-22.154	
224	16.875	-64.354	-16.757	
225	16.875	-65.543	-11.239	
226	16.875	-66.26	-5.6396	
291	33.75	-48.01	-46.014	
292	33.75	-51.739	-41.777	
293	33.75	-55.096	-37.238	
294	33.75	-58.055	-32.432	
295	33.75	-60.597	-27.391	
296	33.75	-62.701	-22.154	
297	33.75	-64.354	-16.757	
298	33.75	-65.543	-11.239	
299	33.75	-66.26	-5.6396	
364	50.625	-48.01	-46.014	
365	50.625	-51.739	-41.777	
366	50.625	-55.096	-37.238	
367	50.625	-58.055	-32.432	
368	50.625	-60.597	-27.391	
369	50.625	-62.701	-22.154	
370	50.625	-64.354	-16.757	
371	50.625	-65.543	-11.239	
372	50.625	-66.26	-5.6396	
437	67.5	-48.01	-46.014	
438	67.5	-51.739	-41.777	
439	67.5	-55.096	-37.238	
440	67.5	-58.055	-32.432	
441	67.5	-60.597	-27.391	
442	67.5	-62.701	-22.154	
443	67.5	-64.354	-16.757	
444	67.5	-65.543	-11.239	
445	67.5	-66.26	-5.6396	
510	84.375	-48.01	-46.014	
511	84.375	-51.739	-41.777	
512	84.375	-55.096	-37.238	
513	84.375	-58.055	-32.432	
514	84.375	-60.597	-27.391	
515	84.375	-62.701	-22.154	
516	84.375	-64.354	-16.757	
517	84.375	-65.543	-11.239	
518	84.375	-66.26	-5.6396	
583	101.25	-48.01	-46.014	
584	101.25	-51.739	-41.777	
585	101.25	-55.096	-37.238	
586	101.25	-58.055	-32.432	
587	101.25	-60.597	-27.391	
588	101.25	-62.701	-22.154	
589	101.25	-64.354	-16.757	
590	101.25	-65.543	-11.239	
591	101.25	-66.26	-5.6396	
656	118.13	-48.01	-46.014	
657	118.13	-51.739	-41.777	
658	118.13	-55.096	-37.238	
659	118.13	-58.055	-32.432	
660	118.13	-60.597	-27.391	
661	118.13	-62.701	-22.154	
662	118.13	-64.354	-16.757	
663	118.13	-65.543	-11.239	
664	118.13	-66.26	-5.6396	
674	135.	-66.26	-5.6396	
675	135.	-65.543	-11.239	
676	135.	-64.354	-16.757	
677	135.	-62.701	-22.154	
678	135.	-60.597	-27.391	
679	135.	-58.055	-32.432	
680	135.	-55.096	-37.238	
681	135.	-51.739	-41.777	
682	135.	-48.01	-46.014	
1554	0.	-66.44	-2.8223	
1557	0.	-65.961	-8.4467	
1558	8.4375	-66.26	-5.6396	
1559	0.	-65.007	-14.01	
1560	8.4375	-65.543	-11.239	
1561	0.	-63.585	-19.473	
1562	8.4375	-64.354	-16.757	
1563	0.	-61.705	-24.795	
1564	8.4375	-62.701	-22.154	
1565	0.	-59.38	-29.939	
1566	8.4375	-60.597	-27.391	
1567	0.	-56.627	-34.866	
1568	8.4375	-58.055	-32.432	
1569	0.	-53.466	-39.543	
1570	8.4375	-55.096	-37.238	
1571	0.	-49.92	-43.935	
1572	8.4375	-51.739	-41.777	
1574	8.4375	-48.01	-46.014	
1894	16.875	-49.92	-43.935	
1895	25.312	-48.01	-46.014	
1897	16.875	-53.466	-39.543	
1898	25.313	-51.739	-41.777	
1900	16.875	-56.627	-34.866	
1901	25.313	-55.096	-37.238	
1903	16.875	-59.38	-29.939	
1904	25.312	-58.055	-32.432	
1906	16.875	-61.705	-24.795	
1907	25.313	-60.597	-27.391	
1909	16.875	-63.585	-19.473	
1910	25.313	-62.701	-22.154	
1912	16.875	-65.007	-14.01	
1913	25.313	-64.354	-16.757	
1915	16.875	-65.961	-8.4467	
1916	25.313	-65.543	-11.239	
1918	25.313	-66.26	-5.6396	
1919	16.875	-66.44	-2.8223	
2113	33.75	-49.92	-43.935	
2114	42.188	-48.01	-46.014	
2116	33.75	-53.466	-39.543	
2117	42.188	-51.739	-41.777	
2119	33.75	-56.627	-34.866	
2120	42.188	-55.096	-37.238	
2122	33.75	-59.38	-29.939	
2123	42.187	-58.055	-32.432	
2125	33.75	-61.705	-24.795	
2126	42.187	-60.597	-27.391	
2128	33.75	-63.585	-19.473	
2129	42.188	-62.701	-22.154	
2131	33.75	-65.007	-14.01	
2132	42.188	-64.354	-16.757	
2134	33.75	-65.961	-8.4467	
2135	42.188	-65.543	-11.239	
2137	42.188	-66.26	-5.6396	
2138	33.75	-66.44	-2.8223	
2332	50.625	-49.92	-43.935	
2333	59.063	-48.01	-46.014	
2335	50.625	-53.466	-39.543	
2336	59.063	-51.739	-41.777	
2338	50.625	-56.627	-34.866	
2339	59.063	-55.096	-37.238	
2341	50.625	-59.38	-29.939	
2342	59.063	-58.055	-32.432	
2344	50.625	-61.705	-24.795	
2345	59.062	-60.597	-27.391	
2347	50.625	-63.585	-19.473	
2348	59.063	-62.701	-22.154	
2350	50.625	-65.007	-14.01	
2351	59.063	-64.354	-16.757	
2353	50.625	-65.961	-8.4467	
2354	59.063	-65.543	-11.239	
2356	59.063	-66.26	-5.6396	
2357	50.625	-66.44	-2.8223	
2551	67.5	-49.92	-43.935	
2552	75.938	-48.01	-46.014	
2554	67.5	-53.466	-39.543	
2555	75.938	-51.739	-41.777	
2557	67.5	-56.627	-34.866	
2558	75.938	-55.096	-37.238	
2560	67.5	-59.38	-29.939	
2561	75.938	-58.055	-32.432	
2563	67.5	-61.705	-24.795	
2564	75.938	-60.597	-27.391	
2566	67.5	-63.585	-19.473	
2567	75.938	-62.701	-22.154	
2569	67.5	-65.007	-14.01	
2570	75.938	-64.354	-16.757	
2572	67.5	-65.961	-8.4467	
2573	75.938	-65.543	-11.239	
2575	75.938	-66.26	-5.6396	
2576	67.5	-66.44	-2.8223	
2770	84.375	-49.92	-43.935	
2771	92.813	-48.01	-46.014	
2773	84.375	-53.466	-39.543	
2774	92.813	-51.739	-41.777	
2776	84.375	-56.627	-34.866	
2777	92.813	-55.096	-37.238	
2779	84.375	-59.38	-29.939	
2780	92.813	-58.055	-32.432	
2782	84.375	-61.705	-24.795	
2783	92.813	-60.597	-27.391	
2785	84.375	-63.585	-19.473	
2786	92.813	-62.701	-22.154	
2788	84.375	-65.007	-14.01	
2789	92.813	-64.354	-16.757	
2791	84.375	-65.961	-8.4467	
2792	92.813	-65.543	-11.239	
2794	92.813	-66.26	-5.6396	
2795	84.375	-66.44	-2.8223	
2989	101.25	-49.92	-43.935	
2990	109.69	-48.01	-46.014	
2992	101.25	-53.466	-39.543	
2993	109.69	-51.739	-41.777	
