節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
80	0.	-66.5	-8.1439e-015	0.
81	0.	-66.26	-5.6396	0.
82	0.	-65.543	-11.239	0.
83	0.	-64.354	-16.757	0.
84	0.	-62.701	-22.154	0.
85	0.	-60.597	-27.391	0.
86	0.	-58.055	-32.432	0.
87	0.	-55.096	-37.238	0.
88	0.	-51.739	-41.777	0.
89	0.	-48.01	-46.014	0.
90	0.	-43.935	-49.92	0.
91	0.	-39.543	-53.466	0.
92	0.	-34.866	-56.627	0.
93	0.	-29.939	-59.38	0.
94	0.	-24.795	-61.705	0.
95	0.	-19.473	-63.585	0.
96	0.	-14.01	-65.007	0.
97	0.	-8.4467	-65.961	0.
98	0.	-2.8223	-66.44	0.
99	0.	2.8223	-66.44	0.
100	0.	8.4467	-65.961	0.
101	0.	14.01	-65.007	0.
102	0.	19.473	-63.585	0.
103	0.	24.795	-61.705	0.
104	0.	29.939	-59.38	0.
105	0.	34.866	-56.627	0.
106	0.	39.543	-53.466	0.
107	0.	43.935	-49.92	0.
108	0.	48.01	-46.014	0.
109	0.	51.739	-41.777	0.
110	0.	55.096	-37.238	0.
111	0.	58.055	-32.432	0.
112	0.	60.597	-27.391	0.
113	0.	62.701	-22.154	0.
114	0.	64.354	-16.757	0.
115	0.	65.543	-11.239	0.
116	0.	66.26	-5.6396	0.
117	0.	66.5	-1.9429e-013	0.
118	0.	66.26	5.6396	0.
119	0.	65.543	11.239	0.
120	0.	64.354	16.757	0.
121	0.	62.701	22.154	0.
122	0.	60.597	27.391	0.
123	0.	58.055	32.432	0.
124	0.	55.096	37.238	0.
125	0.	51.739	41.777	0.
126	0.	48.01	46.014	0.
127	0.	43.935	49.92	0.
128	0.	39.543	53.466	0.
129	0.	34.866	56.627	0.
130	0.	29.939	59.38	0.
131	0.	24.795	61.705	0.
132	0.	19.473	63.585	0.
133	0.	14.01	65.007	0.
134	0.	8.4467	65.961	0.
135	0.	2.8223	66.44	0.
136	0.	-2.8223	66.44	0.
137	0.	-8.4467	65.961	0.
138	0.	-14.01	65.007	0.
139	0.	-19.473	63.585	0.
140	0.	-24.795	61.705	0.
141	0.	-29.939	59.38	0.
142	0.	-34.866	56.627	0.
143	0.	-39.543	53.466	0.
144	0.	-43.935	49.92	0.
145	0.	-48.01	46.014	0.
146	0.	-51.739	41.777	0.
147	0.	-55.096	37.238	0.
148	0.	-58.055	32.432	0.
149	0.	-60.597	27.391	0.
150	0.	-62.701	22.154	0.
151	0.	-64.354	16.757	0.
152	0.	-66.26	5.6396	0.
153	0.	-65.543	11.239	0.
154	16.875	-66.26	5.6396	-2.4925
155	16.875	-65.543	11.239	-1.8523
156	16.875	-64.354	16.757	-1.1584
157	16.875	-62.701	22.154	-0.43102
158	16.875	-60.597	27.391	0.3085
159	16.875	-58.055	32.432	1.0385
160	16.875	-55.096	37.238	1.7376
161	16.875	-51.739	41.777	2.3853
162	16.875	-48.01	46.014	2.9628
163	16.875	-43.935	49.92	3.4531
164	16.875	-39.543	53.466	3.8422
165	16.875	-34.866	56.627	4.1192
166	16.875	-29.939	59.38	4.2766
167	16.875	-24.795	61.705	4.3111
168	16.875	-19.473	63.585	4.223
169	16.875	-14.01	65.007	4.0151
170	16.875	-8.4467	65.961	3.6925
171	16.875	-2.8223	66.44	3.2587
172	16.875	2.8223	66.44	2.7833
173	16.875	8.4467	65.961	2.1602
174	16.875	14.01	65.007	1.504
175	16.875	19.473	63.585	0.79807
176	16.875	24.795	61.705	6.5709e-002
177	16.875	29.939	59.38	-0.67057
178	16.875	34.866	56.627	-1.3875
179	16.875	39.543	53.466	-2.0633
180	16.875	43.935	49.92	-2.6781
181	16.875	48.01	46.014	-3.2137
182	16.875	51.739	41.777	-3.6549
183	16.875	55.096	37.238	-3.9894
184	16.875	58.055	32.432	-4.2086
185	16.875	60.597	27.391	-4.3077
186	16.875	62.701	22.154	-4.2861
187	16.875	64.354	16.757	-4.1453
188	16.875	65.543	11.239	-3.8886
189	16.875	66.26	5.6396	-3.5152
190	16.875	66.5	-1.9429e-013	-3.053
191	16.875	66.26	-5.6396	-2.507
192	16.875	65.543	-11.239	-1.8609
193	16.875	64.354	-16.757	-1.1669
194	16.875	62.701	-22.154	-0.43723
195	16.875	60.597	-27.391	0.30448
196	16.875	58.055	-32.432	1.0361
197	16.875	55.096	-37.238	1.736
198	16.875	51.739	-41.777	2.384
199	16.875	48.01	-46.014	2.9613
200	16.875	43.935	-49.92	3.4512
201	16.875	39.543	-53.466	3.8398
202	16.875	34.866	-56.627	4.1162
203	16.875	29.939	-59.38	4.2732
204	16.875	24.795	-61.705	4.3073
205	16.875	19.473	-63.585	4.219
206	16.875	14.01	-65.007	4.011
207	16.875	8.4467	-65.961	3.6886
208	16.875	2.8223	-66.44	3.2551
209	16.875	-2.8223	-66.44	2.7804
210	16.875	-8.4467	-65.961	2.1587
211	16.875	-14.01	-65.007	1.5053
212	16.875	-19.473	-63.585	0.80401
213	16.875	-24.795	-61.705	7.8983e-002
214	16.875	-29.939	-59.38	-0.65677
215	16.875	-34.866	-56.627	-1.3525
216	16.875	-39.543	-53.466	-2.0253
217	16.875	-43.935	-49.92	-2.6423
218	16.875	-48.01	-46.014	-3.1848
219	16.875	-51.739	-41.777	-3.637
220	16.875	-55.096	-37.238	-3.9853
221	16.875	-58.055	-32.432	-4.2188
222	16.875	-60.597	-27.391	-4.3302
223	16.875	-62.701	-22.154	-4.3159
224	16.875	-64.354	-16.757	-4.1759
225	16.875	-65.543	-11.239	-3.9144
226	16.875	-66.26	-5.6396	-3.5389
227	33.75	-66.26	5.6396	-6.1976
228	33.75	-65.543	11.239	-4.6129
229	33.75	-64.354	16.757	-2.895
230	33.75	-62.701	22.154	-1.0935
231	33.75	-60.597	27.391	0.7395
232	33.75	-58.055	32.432	2.551
233	33.75	-55.096	37.238	4.2887
234	33.75	-51.739	41.777	5.9024
235	33.75	-48.01	46.014	7.3453
236	33.75	-43.935	49.92	8.5759
237	33.75	-39.543	53.466	9.5585
238	33.75	-34.866	56.627	10.265
239	33.75	-29.939	59.38	10.675
240	33.75	-24.795	61.705	10.778
241	33.75	-19.473	63.585	10.571
242	33.75	-14.01	65.007	10.061
243	33.75	-8.4467	65.961	9.2652
244	33.75	-2.8223	66.44	8.1971
245	33.75	2.8223	66.44	6.921
246	33.75	8.4467	65.961	5.407
247	33.75	14.01	65.007	3.7646
248	33.75	19.473	63.585	2.0014
249	33.75	24.795	61.705	0.18042
250	33.75	29.939	59.38	-1.6465
251	33.75	34.866	56.627	-3.4259
252	33.75	39.543	53.466	-5.1063
253	33.75	43.935	49.92	-6.6389
254	33.75	48.01	46.014	-7.9796
255	33.75	51.739	41.777	-9.0896
256	33.75	55.096	37.238	-9.9371
257	33.75	58.055	32.432	-10.498
258	33.75	60.597	27.391	-10.758
259	33.75	62.701	22.154	-10.709
260	33.75	64.354	16.757	-10.353
261	33.75	65.543	11.239	-9.7029
262	33.75	66.26	5.6396	-8.7641
263	33.75	66.5	-1.9429e-013	-7.5811
264	33.75	66.26	-5.6396	-6.1932
265	33.75	65.543	-11.239	-4.6152
266	33.75	64.354	-16.757	-2.8999
267	33.75	62.701	-22.154	-1.098
268	33.75	60.597	-27.391	0.73547
269	33.75	58.055	-32.432	2.5472
270	33.75	55.096	-37.238	4.2847
271	33.75	51.739	-41.777	5.8978
272	33.75	48.01	-46.014	7.3397
273	33.75	43.935	-49.92	8.5692
274	33.75	39.543	-53.466	9.5507
275	33.75	34.866	-56.627	10.256
276	33.75	29.939	-59.38	10.666
277	33.75	24.795	-61.705	10.768
278	33.75	19.473	-63.585	10.561
279	33.75	14.01	-65.007	10.052
280	33.75	8.4467	-65.961	9.2573
281	33.75	2.8223	-66.44	8.191
282	33.75	-2.8223	-66.44	6.9172
283	33.75	-8.4467	-65.961	5.4063
284	33.75	-14.01	-65.007	3.7678
285	33.75	-19.473	-63.585	2.0089
286	33.75	-24.795	-61.705	0.1956
287	33.75	-29.939	-59.38	-1.6315
288	33.75	-34.866	-56.627	-3.4022
289	33.75	-39.543	-53.466	-5.0824
290	33.75	-43.935	-49.92	-6.616
291	33.75	-48.01	-46.014	-7.9608
292	33.75	-51.739	-41.777	-9.0772
293	33.75	-55.096	-37.238	-9.933
294	33.75	-58.055	-32.432	-10.503
295	33.75	-60.597	-27.391	-10.77
296	33.75	-62.701	-22.154	-10.727
297	33.75	-64.354	-16.757	-10.374
298	33.75	-65.543	-11.239	-9.7222
299	33.75	-66.26	-5.6396	-8.7896
300	50.625	-66.26	5.6396	-10.066
301	50.625	-65.543	11.239	-7.4947
302	50.625	-64.354	16.757	-4.7072
303	50.625	-62.701	22.154	-1.7839
304	50.625	-60.597	27.391	1.1909
305	50.625	-58.055	32.432	4.1315
306	50.625	-55.096	37.238	6.9532
307	50.625	-51.739	41.777	9.5746
308	50.625	-48.01	46.014	11.92
309	50.625	-43.935	49.92	13.922
310	50.625	-39.543	53.466	15.523
311	50.625	-34.866	56.627	16.678
312	50.625	-29.939	59.38	17.352
313	50.625	-24.795	61.705	17.526
314	50.625	-19.473	63.585	17.196
315	50.625	-14.01	65.007	16.37
316	50.625	-8.4467	65.961	15.075
317	50.625	-2.8223	66.44	13.338
318	50.625	2.8223	66.44	11.238
319	50.625	8.4467	65.961	8.7894
320	50.625	14.01	65.007	6.1077
321	50.625	19.473	63.585	3.245
322	50.625	24.795	61.705	0.28986
323	50.625	29.939	59.38	-2.6746
324	50.625	34.866	56.627	-5.5626
325	50.625	39.543	53.466	-8.2907
326	50.625	43.935	49.92	-10.78
327	50.625	48.01	46.014	-12.96
328	50.625	51.739	41.777	-14.766
329	50.625	55.096	37.238	-16.148
330	50.625	58.055	32.432	-17.065
331	50.625	60.597	27.391	-17.491
332	50.625	62.701	22.154	-17.414
333	50.625	64.354	16.757	-16.835
334	50.625	65.543	11.239	-15.772
335	50.625	66.26	5.6396	-14.243
336	50.625	66.5	-1.9429e-013	-12.317
337	50.625	66.26	-5.6396	-10.047
338	50.625	65.543	-11.239	-7.4806
339	50.625	64.354	-16.757	-4.6981
340	50.625	62.701	-22.154	-1.7794
341	50.625	60.597	-27.391	1.1914
342	50.625	58.055	-32.432	4.1286
343	50.625	55.096	-37.238	6.9472
344	50.625	51.739	-41.777	9.5657
345	50.625	48.01	-46.014	11.909
346	50.625	43.935	-49.92	13.909
347	50.625	39.543	-53.466	15.508
348	50.625	34.866	-56.627	16.661
349	50.625	29.939	-59.38	17.335
350	50.625	24.795	-61.705	17.51
351	50.625	19.473	-63.585	17.181
352	50.625	14.01	-65.007	16.357
353	50.625	8.4467	-65.961	15.065
354	50.625	2.8223	-66.44	13.331
355	50.625	-2.8223	-66.44	11.236
356	50.625	-8.4467	-65.961	8.792
357	50.625	-14.01	-65.007	6.1156
358	50.625	-19.473	-63.585	3.2575
359	50.625	-24.795	-61.705	0.30815
360	50.625	-29.939	-59.38	-2.6583
361	50.625	-34.866	-56.627	-5.5401
362	50.625	-39.543	-53.466	-8.2701
363	50.625	-43.935	-49.92	-10.761
364	50.625	-48.01	-46.014	-12.944
365	50.625	-51.739	-41.777	-14.755
366	50.625	-55.096	-37.238	-16.141
367	50.625	-58.055	-32.432	-17.062
368	50.625	-60.597	-27.391	-17.493
369	50.625	-62.701	-22.154	-17.421
370	50.625	-64.354	-16.757	-16.846
371	50.625	-65.543	-11.239	-15.787
372	50.625	-66.26	-5.6396	-14.273
373	67.5	-66.26	5.6396	-14.272
374	67.5	-65.543	11.239	-10.628
375	67.5	-64.354	16.757	-6.6771
376	67.5	-62.701	22.154	-2.534
377	67.5	-60.597	27.391	1.6825
378	67.5	-58.055	32.432	5.8511
379	67.5	-55.096	37.238	9.8517
380	67.5	-51.739	41.777	13.569
381	67.5	-48.01	46.014	16.896
382	67.5	-43.935	49.92	19.737
383	67.5	-39.543	53.466	22.01
384	67.5	-34.866	56.627	23.649
385	67.5	-29.939	59.38	24.607
386	67.5	-24.795	61.705	24.856
387	67.5	-19.473	63.585	24.389
388	67.5	-14.01	65.007	23.217
389	67.5	-8.4467	65.961	21.379
390	67.5	-2.8223	66.44	18.915
