節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
90	0.	-43.935	-49.92	
91	0.	-39.543	-53.466	
92	0.	-34.866	-56.627	
93	0.	-29.939	-59.38	
94	0.	-24.795	-61.705	
95	0.	-19.473	-63.585	
96	0.	-14.01	-65.007	
97	0.	-8.4467	-65.961	
98	0.	-2.8223	-66.44	
209	16.875	-2.8223	-66.44	
210	16.875	-8.4467	-65.961	
211	16.875	-14.01	-65.007	
212	16.875	-19.473	-63.585	
213	16.875	-24.795	-61.705	
214	16.875	-29.939	-59.38	
215	16.875	-34.866	-56.627	
216	16.875	-39.543	-53.466	
217	16.875	-43.935	-49.92	
282	33.75	-2.8223	-66.44	
283	33.75	-8.4467	-65.961	
284	33.75	-14.01	-65.007	
285	33.75	-19.473	-63.585	
286	33.75	-24.795	-61.705	
287	33.75	-29.939	-59.38	
288	33.75	-34.866	-56.627	
289	33.75	-39.543	-53.466	
290	33.75	-43.935	-49.92	
355	50.625	-2.8223	-66.44	
356	50.625	-8.4467	-65.961	
357	50.625	-14.01	-65.007	
358	50.625	-19.473	-63.585	
359	50.625	-24.795	-61.705	
360	50.625	-29.939	-59.38	
361	50.625	-34.866	-56.627	
362	50.625	-39.543	-53.466	
363	50.625	-43.935	-49.92	
428	67.5	-2.8223	-66.44	
429	67.5	-8.4467	-65.961	
430	67.5	-14.01	-65.007	
431	67.5	-19.473	-63.585	
432	67.5	-24.795	-61.705	
433	67.5	-29.939	-59.38	
434	67.5	-34.866	-56.627	
435	67.5	-39.543	-53.466	
436	67.5	-43.935	-49.92	
501	84.375	-2.8223	-66.44	
502	84.375	-8.4467	-65.961	
503	84.375	-14.01	-65.007	
504	84.375	-19.473	-63.585	
505	84.375	-24.795	-61.705	
506	84.375	-29.939	-59.38	
507	84.375	-34.866	-56.627	
508	84.375	-39.543	-53.466	
509	84.375	-43.935	-49.92	
574	101.25	-2.8223	-66.44	
575	101.25	-8.4467	-65.961	
576	101.25	-14.01	-65.007	
577	101.25	-19.473	-63.585	
578	101.25	-24.795	-61.705	
579	101.25	-29.939	-59.38	
580	101.25	-34.866	-56.627	
581	101.25	-39.543	-53.466	
582	101.25	-43.935	-49.92	
647	118.13	-2.8223	-66.44	
648	118.13	-8.4467	-65.961	
649	118.13	-14.01	-65.007	
650	118.13	-19.473	-63.585	
651	118.13	-24.795	-61.705	
652	118.13	-29.939	-59.38	
653	118.13	-34.866	-56.627	
654	118.13	-39.543	-53.466	
655	118.13	-43.935	-49.92	
683	135.	-43.935	-49.92	
684	135.	-39.543	-53.466	
685	135.	-34.866	-56.627	
686	135.	-29.939	-59.38	
687	135.	-24.795	-61.705	
688	135.	-19.473	-63.585	
689	135.	-14.01	-65.007	
690	135.	-8.4467	-65.961	
691	135.	-2.8223	-66.44	
1573	0.	-46.014	-48.01	
1575	0.	-41.777	-51.739	
