節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
80	0.	-66.5	-8.1439e-015	
145	0.	-48.01	46.014	
146	0.	-51.739	41.777	
147	0.	-55.096	37.238	
148	0.	-58.055	32.432	
149	0.	-60.597	27.391	
150	0.	-62.701	22.154	
151	0.	-64.354	16.757	
152	0.	-66.26	5.6396	
153	0.	-65.543	11.239	
154	16.875	-66.26	5.6396	
155	16.875	-65.543	11.239	
156	16.875	-64.354	16.757	
157	16.875	-62.701	22.154	
158	16.875	-60.597	27.391	
159	16.875	-58.055	32.432	
160	16.875	-55.096	37.238	
161	16.875	-51.739	41.777	
162	16.875	-48.01	46.014	
227	33.75	-66.26	5.6396	
228	33.75	-65.543	11.239	
229	33.75	-64.354	16.757	
230	33.75	-62.701	22.154	
231	33.75	-60.597	27.391	
232	33.75	-58.055	32.432	
233	33.75	-55.096	37.238	
234	33.75	-51.739	41.777	
235	33.75	-48.01	46.014	
300	50.625	-66.26	5.6396	
301	50.625	-65.543	11.239	
302	50.625	-64.354	16.757	
303	50.625	-62.701	22.154	
304	50.625	-60.597	27.391	
305	50.625	-58.055	32.432	
306	50.625	-55.096	37.238	
307	50.625	-51.739	41.777	
308	50.625	-48.01	46.014	
373	67.5	-66.26	5.6396	
374	67.5	-65.543	11.239	
375	67.5	-64.354	16.757	
376	67.5	-62.701	22.154	
377	67.5	-60.597	27.391	
378	67.5	-58.055	32.432	
379	67.5	-55.096	37.238	
380	67.5	-51.739	41.777	
381	67.5	-48.01	46.014	
446	84.375	-66.26	5.6396	
447	84.375	-65.543	11.239	
448	84.375	-64.354	16.757	
449	84.375	-62.701	22.154	
450	84.375	-60.597	27.391	
451	84.375	-58.055	32.432	
452	84.375	-55.096	37.238	
453	84.375	-51.739	41.777	
454	84.375	-48.01	46.014	
519	101.25	-66.26	5.6396	
520	101.25	-65.543	11.239	
521	101.25	-64.354	16.757	
522	101.25	-62.701	22.154	
523	101.25	-60.597	27.391	
524	101.25	-58.055	32.432	
525	101.25	-55.096	37.238	
526	101.25	-51.739	41.777	
527	101.25	-48.01	46.014	
592	118.13	-66.26	5.6396	
593	118.13	-65.543	11.239	
594	118.13	-64.354	16.757	
595	118.13	-62.701	22.154	
596	118.13	-60.597	27.391	
597	118.13	-58.055	32.432	
598	118.13	-55.096	37.238	
599	118.13	-51.739	41.777	
600	118.13	-48.01	46.014	
665	135.	-66.26	5.6396	
666	16.875	-66.5	-8.1439e-015	
667	33.75	-66.5	-8.1439e-015	
668	50.625	-66.5	-8.1439e-015	
669	67.5	-66.5	-8.1439e-015	
670	84.375	-66.5	-8.1439e-015	
671	101.25	-66.5	-8.1439e-015	
672	118.13	-66.5	-8.1439e-015	
673	135.	-66.5	-8.1439e-015	
738	135.	-48.01	46.014	
739	135.	-51.739	41.777	
740	135.	-55.096	37.238	
741	135.	-58.055	32.432	
742	135.	-60.597	27.391	
743	135.	-62.701	22.154	
744	135.	-64.354	16.757	
745	135.	-65.543	11.239	
1555	0.	-66.44	2.8223	
1556	8.4375	-66.5	-8.1439e-015	
1685	0.	-49.92	43.935	
1686	8.4375	-48.01	46.014	
1687	0.	-53.466	39.543	
1688	8.4375	-51.739	41.777	
1689	0.	-56.627	34.866	
1690	8.4375	-55.096	37.238	
1691	0.	-59.38	29.939	
1692	8.4375	-58.055	32.432	
1693	0.	-61.705	24.795	
1694	8.4375	-60.597	27.391	
1695	0.	-63.585	19.473	
1696	8.4375	-62.701	22.154	
1697	0.	-65.007	14.01	
1698	8.4375	-64.354	16.757	
1699	0.	-65.961	8.4467	
1700	8.4375	-66.26	5.6396	
1701	8.4375	-65.543	11.239	
1702	16.875	-65.961	8.4467	
1703	25.313	-66.26	5.6396	
1704	16.875	-66.44	2.8223	
1706	16.875	-65.007	14.01	
1707	25.313	-65.543	11.239	
1709	16.875	-63.585	19.473	
1710	25.313	-64.354	16.757	
1712	16.875	-61.705	24.795	
1713	25.313	-62.701	22.154	
1715	16.875	-59.38	29.939	
1716	25.313	-60.597	27.391	
1718	16.875	-56.627	34.866	
1719	25.313	-58.055	32.432	
1721	16.875	-53.466	39.543	
1722	25.313	-55.096	37.238	
1724	16.875	-49.92	43.935	
1725	25.313	-51.739	41.777	
1728	25.313	-48.01	46.014	
1921	33.75	-65.961	8.4467	
1922	42.188	-66.26	5.6396	
1923	33.75	-66.44	2.8223	
1925	33.75	-65.007	14.01	
1926	42.188	-65.543	11.239	
1928	33.75	-63.585	19.473	
1929	42.188	-64.354	16.757	
1931	33.75	-61.705	24.795	
1932	42.188	-62.701	22.154	
1934	33.75	-59.38	29.939	
1935	42.188	-60.597	27.391	
1937	33.75	-56.627	34.866	
1938	42.188	-58.055	32.432	
1940	33.75	-53.466	39.543	
1941	42.188	-55.096	37.238	
1943	33.75	-49.92	43.935	
1944	42.188	-51.739	41.777	
1947	42.188	-48.01	46.014	
2140	50.625	-65.961	8.4467	
2141	59.063	-66.26	5.6396	
2142	50.625	-66.44	2.8223	
2144	50.625	-65.007	14.01	
2145	59.063	-65.543	11.239	
2147	50.625	-63.585	19.473	
2148	59.063	-64.354	16.757	
2150	50.625	-61.705	24.795	
2151	59.063	-62.701	22.154	
2153	50.625	-59.38	29.939	
2154	59.063	-60.597	27.391	
2156	50.625	-56.627	34.866	
2157	59.063	-58.055	32.432	
2159	50.625	-53.466	39.543	
2160	59.063	-55.096	37.238	
2162	50.625	-49.92	43.935	
2163	59.063	-51.739	41.777	
2166	59.063	-48.01	46.014	
2359	67.5	-65.961	8.4467	
2360	75.938	-66.26	5.6396	
2361	67.5	-66.44	2.8223	
2363	67.5	-65.007	14.01	
2364	75.938	-65.543	11.239	
2366	67.5	-63.585	19.473	
2367	75.938	-64.354	16.757	
2369	67.5	-61.705	24.795	
2370	75.938	-62.701	22.154	
2372	67.5	-59.38	29.939	
2373	75.938	-60.597	27.391	
2375	67.5	-56.627	34.866	
2376	75.938	-58.055	32.432	
2378	67.5	-53.466	39.543	
2379	75.938	-55.096	37.238	
2381	67.5	-49.92	43.935	
2382	75.938	-51.739	41.777	
2385	75.938	-48.01	46.014	
2578	84.375	-65.961	8.4467	
2579	92.813	-66.26	5.6396	
2580	84.375	-66.44	2.8223	
2582	84.375	-65.007	14.01	
2583	92.813	-65.543	11.239	
2585	84.375	-63.585	19.473	
2586	92.813	-64.354	16.757	
2588	84.375	-61.705	24.795	
2589	92.813	-62.701	22.154	
2591	84.375	-59.38	29.939	
2592	92.813	-60.597	27.391	
2594	84.375	-56.627	34.866	
2595	92.813	-58.055	32.432	
2597	84.375	-53.466	39.543	
2598	92.813	-55.096	37.238	
2600	84.375	-49.92	43.935	
2601	92.813	-51.739	41.777	
2604	92.813	-48.01	46.014	
2797	101.25	-65.961	8.4467	
2798	109.69	-66.26	5.6396	
2799	101.25	-66.44	2.8223	
2801	101.25	-65.007	14.01	
2802	109.69	-65.543	11.239	
2804	101.25	-63.585	19.473	
2805	109.69	-64.354	16.757	
2807	101.25	-61.705	24.795	
2808	109.69	-62.701	22.154	
2810	101.25	-59.38	29.939	
2811	109.69	-60.597	27.391	
2813	101.25	-56.627	34.866	
2814	109.69	-58.055	32.432	
2816	101.25	-53.466	39.543	
2817	109.69	-55.096	37.238	
2819	101.25	-49.92	43.935	
2820	109.69	-51.739	41.777	
2823	109.69	-48.01	46.014	
3016	118.13	-65.961	8.4467	
3017	126.56	-66.26	5.6396	
3018	118.13	-66.44	2.8223	
3020	118.13	-65.007	14.01	
3021	126.56	-65.543	11.239	
3023	118.13	-63.585	19.473	
3024	126.56	-64.354	16.757	
3026	118.13	-61.705	24.795	
3027	126.56	-62.701	22.154	
3029	118.13	-59.38	29.939	
3030	126.56	-60.597	27.391	
3032	118.13	-56.627	34.866	
3033	126.56	-58.055	32.432	
3035	118.13	-53.466	39.543	
3036	126.56	-55.096	37.238	
3038	118.13	-49.92	43.935	
3039	126.56	-51.739	41.777	
3042	126.56	-48.01	46.014	
3235	135.	-66.44	2.8223	
3236	135.	-65.961	8.4467	
3238	25.313	-66.5	-8.1439e-015	
3240	42.188	-66.5	-8.1439e-015	
3242	59.063	-66.5	-8.1439e-015	
3244	75.938	-66.5	-8.1439e-015	
3246	92.813	-66.5	-8.1439e-015	
3248	109.69	-66.5	-8.1439e-015	
3250	126.56	-66.5	-8.1439e-015	
3381	135.	-49.92	43.935	
3383	135.	-53.466	39.543	
3385	135.	-56.627	34.866	
3387	135.	-59.38	29.939	
3389	135.	-61.705	24.795	
3391	135.	-63.585	19.473	
3393	135.	-65.007	14.01	
