節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-4.0003
1802	135.	-66.5	-8.1439e-015	-4.2515
1803	135.	-66.247	-5.7959	-3.9899
1804	135.	-65.49	-11.548	-3.2471
1805	135.	-64.234	-17.211	-2.1126
1806	135.	-62.49	-22.744	-0.72331
1807	135.	-60.269	-28.104	0.75322
1808	135.	-57.591	-33.25	2.1389
1809	135.	-54.474	-38.143	3.2666
1810	135.	-50.942	-42.745	4.0003
1811	135.	-47.023	-47.023	4.2515
1812	135.	-42.745	-50.942	3.9899
1813	135.	-38.143	-54.474	3.2471
1814	135.	-33.25	-57.591	2.1126
1815	135.	-28.104	-60.269	0.72331
1816	135.	-22.744	-62.49	-0.75322
1817	135.	-17.211	-64.234	-2.1389
1818	135.	-11.548	-65.49	-3.2666
1819	135.	-5.7959	-66.247	-4.0003
1820	135.	1.8838e-014	-66.5	-4.2515
1821	135.	5.7959	-66.247	-3.9899
1822	135.	11.548	-65.49	-3.2471
1823	135.	17.211	-64.234	-2.1126
1824	135.	22.744	-62.49	-0.72331
1825	135.	28.104	-60.269	0.75322
1826	135.	33.25	-57.591	2.1389
1827	135.	38.143	-54.474	3.2666
1828	135.	42.745	-50.942	4.0003
1829	135.	47.023	-47.023	4.2515
1830	135.	50.942	-42.745	3.9899
1831	135.	54.474	-38.143	3.2471
1832	135.	57.591	-33.25	2.1126
1833	135.	60.269	-28.104	0.72331
1834	135.	62.49	-22.744	-0.75322
1835	135.	64.234	-17.211	-2.1389
1836	135.	65.49	-11.548	-3.2666
1837	135.	66.247	-5.7959	-4.0003
1838	135.	66.5	5.5511e-014	-4.2515
1839	135.	66.247	5.7959	-3.9899
1840	135.	65.49	11.548	-3.2471
1841	135.	64.234	17.211	-2.1126
1842	135.	62.49	22.744	-0.72331
1843	135.	60.269	28.104	0.75322
1844	135.	57.591	33.25	2.1389
1845	135.	54.474	38.143	3.2666
1846	135.	50.942	42.745	4.0003
1847	135.	47.023	47.023	4.2515
1848	135.	42.745	50.942	3.9899
1849	135.	38.143	54.474	3.2471
1850	135.	33.25	57.591	2.1126
1851	135.	28.104	60.269	0.72331
1852	135.	22.744	62.49	-0.75322
1853	135.	17.211	64.234	-2.1389
1854	135.	11.548	65.49	-3.2666
1855	135.	5.7959	66.247	-4.0003
1856	135.	3.1416e-013	66.5	-4.2515
1857	135.	-5.7959	66.247	-3.9899
1858	135.	-11.548	65.49	-3.2471
1859	135.	-17.211	64.234	-2.1126
1860	135.	-22.744	62.49	-0.72331
1861	135.	-28.104	60.269	0.75322
1862	135.	-33.25	57.591	2.1389
1863	135.	-38.143	54.474	3.2666
1864	135.	-42.745	50.942	4.0003
1865	135.	-47.023	47.023	4.2515
1866	135.	-50.942	42.745	3.9899
1867	135.	-54.474	38.143	3.2471
1868	135.	-57.591	33.25	2.1126
1869	135.	-60.269	28.104	0.72331
1870	135.	-62.49	22.744	-0.75322
1871	135.	-64.234	17.211	-2.1389
1872	135.	-65.49	11.548	-3.2666
8883	135.	-66.437	2.9007	-4.1899
8884	135.	-65.931	8.68	-3.6898
8932	135.	-66.437	-2.9007	-4.1846
8934	135.	-65.931	-8.68	-3.6746
8936	135.	-64.924	-14.393	-2.7214
8938	135.	-63.422	-19.997	-1.4399
8940	135.	-61.438	-25.448	1.5188e-002
8942	135.	-58.986	-30.706	1.4685
8944	135.	-56.086	-35.73	2.7447
8946	135.	-52.758	-40.483	3.6898
8948	135.	-49.029	-44.927	4.1899
8950	135.	-44.927	-49.029	4.1846
8952	135.	-40.483	-52.758	3.6746
8954	135.	-35.73	-56.086	2.7214
8956	135.	-30.706	-58.986	1.4399
8958	135.	-25.448	-61.438	-1.5188e-002
8960	135.	-19.997	-63.422	-1.4685
8962	135.	-14.393	-64.924	-2.7447
8964	135.	-8.68	-65.931	-3.6898
8966	135.	-2.9007	-66.437	-4.1899
8968	135.	2.9007	-66.437	-4.1846
8970	135.	8.68	-65.931	-3.6746
8972	135.	14.393	-64.924	-2.7214
8974	135.	19.997	-63.422	-1.4399
8976	135.	25.448	-61.438	1.5188e-002
8978	135.	30.706	-58.986	1.4685
8980	135.	35.73	-56.086	2.7447
8982	135.	40.483	-52.758	3.6898
8984	135.	44.927	-49.029	4.1899
8986	135.	49.029	-44.927	4.1846
8988	135.	52.758	-40.483	3.6746
8990	135.	56.086	-35.73	2.7214
8992	135.	58.986	-30.706	1.4399
8994	135.	61.438	-25.448	-1.5188e-002
8996	135.	63.422	-19.997	-1.4685
8998	135.	64.924	-14.393	-2.7447
9000	135.	65.931	-8.68	-3.6898
9002	135.	66.437	-2.9007	-4.1899
9004	135.	66.437	2.9007	-4.1846
9006	135.	65.931	8.68	-3.6746
9008	135.	64.924	14.393	-2.7214
9010	135.	63.422	19.997	-1.4399
9012	135.	61.438	25.448	1.5188e-002
9014	135.	58.986	30.706	1.4685
9016	135.	56.086	35.73	2.7447
9018	135.	52.758	40.483	3.6898
9020	135.	49.029	44.927	4.1899
9022	135.	44.927	49.029	4.1846
9024	135.	40.483	52.758	3.6746
9026	135.	35.73	56.086	2.7214
9028	135.	30.706	58.986	1.4399
9030	135.	25.448	61.438	-1.5188e-002
9032	135.	19.997	63.422	-1.4685
9034	135.	14.393	64.924	-2.7447
9036	135.	8.68	65.931	-3.6898
9038	135.	2.9007	66.437	-4.1899
